,Distance,Channel 1,Channel 2,Channel 3
0,0.0,211741.95200000014,1541976.440000001,714584.2529999998
1,0.035,208225.904,1495030.2650000004,714208.4430000003
2,0.07,204700.37099999998,1442234.2829999998,718455.1269999997
3,0.10500000000000001,200837.317,1370005.8950000007,716475.4710000005
4,0.14,199766.82,1307423.163,722641.2449999993
5,0.17500000000000002,200775.2700000001,1252480.1259999997,734342.296
6,0.21000000000000002,204274.06800000023,1200307.2470000004,741991.1240000007
7,0.24500000000000002,213436.3110000001,1237804.1199999987,749338.1140000001
8,0.28,223586.72200000007,1410142.4450000005,762051.6550000005
9,0.31500000000000006,236772.0550000001,1784220.3510000003,777474.8439999999
10,0.35000000000000003,248932.47299999994,2361046.9009999996,792173.6399999998
11,0.385,259636.2630000001,3084850.4490000005,812215.9259999995
12,0.42000000000000004,265440.73500000004,3792975.0949999965,822116.9390000005
13,0.45500000000000007,265739.6320000001,4365463.765000002,827597.1479999999
14,0.49000000000000005,260784.5850000001,4640080.356,828829.2360000001
15,0.525,245327.16899999988,4293721.722999997,817334.3959999997
16,0.56,229658.59799999994,3687131.9329999997,798146.1359999997
17,0.5950000000000001,217015.33599999992,2965872.923,780744.3989999999
18,0.6300000000000001,205090.70000000007,2186533.7339999997,760461.9539999998
19,0.665,198494.42100000003,1618166.5819999997,744077.3920000003
20,0.7000000000000001,193199.16799999998,1265024.6549999998,735271.5049999998
21,0.7350000000000001,192127.46000000005,1118318.1599999995,737348.3139999999
22,0.77,193036.12799999997,1118208.9590000003,742882.8960000001
23,0.805,194289.38999999996,1184009.3100000012,749250.6920000002
24,0.8400000000000001,196062.14300000013,1296195.8680000002,755580.0440000006
25,0.8750000000000001,198059.66699999996,1434800.7430000005,759628.011
26,0.9100000000000001,201299.3109999999,1568300.4000000001,762703.4750000006
27,0.9450000000000001,203403.01600000003,1660898.1139999998,764978.8230000004
28,0.9800000000000001,204802.50200000007,1714393.3230000015,758522.1259999996
