,Distance,Channel 1 Avg,Channel 1 Std,Channel 2 Avg,Channel 2 Std,Channel 3 Avg,Channel 3 Std
0,0.0,4744.175489819005,2023.4113162999663,5693.628469457013,5310.682844139543,2934.850915158371,4875.216597108602
1,0.035,4749.698941176471,2013.0234273795688,5695.758369909502,5187.6869351102305,2926.791435520362,4840.405553245417
2,0.07,4758.446492081447,2011.308050103657,5701.207607466064,5044.143177928844,2913.0105554298643,4865.516334661446
3,0.105,4777.347592760181,2007.246668334268,5798.41538800905,5015.8528806677205,2868.193354072398,4841.342428298481
4,0.14,4793.525177601809,2010.9792106073985,5939.88428959276,5100.528762401045,2810.720161764706,4724.893681272708
5,0.175,4810.442028280543,2022.7158215222998,6150.738704751131,5199.769078828322,2714.6262590497736,4469.086979478944
6,0.21,4815.504787330317,2030.125878927879,6432.767666289592,5225.104725071698,2561.5213325791856,3992.849797126698
7,0.245,4807.3067929864255,2036.968785672382,6761.314645927601,5210.359174384512,2457.5292669683254,3513.4238523529584
8,0.28,4788.371592760181,2032.536529538382,7193.605006787329,5231.22320668211,2664.981283936652,3197.488687779747
9,0.315,4761.34900678733,2031.9953304569663,7760.3925339366515,5321.032340831659,3337.070918552036,3091.7316967788865
10,0.35,4728.73290837104,2024.9814150150564,8480.80010520362,5522.991064347297,4797.777506787331,3451.973095186397
11,0.385,4688.531796380092,2026.0538821637747,9214.613050904978,5694.5798903580335,7193.6979807692305,4246.584333495682
12,0.42,4669.6095000000005,2030.3422581913817,9851.836932126698,5816.653597378752,10035.528271493213,5283.153496377732
13,0.455,4654.931511312217,2040.4680157546309,10338.312804298643,5928.50011302294,12621.036753393668,6101.3457118912465
14,0.49,4661.902265837104,2048.108775042941,10526.941993212671,5933.147582322727,14131.784528280541,6417.879169641089
15,0.525,4665.472023755657,2060.197396025121,10066.67286877828,5920.04869611524,12413.25088914027,6220.576845862312
16,0.56,4669.582371040724,2062.0409752496025,9443.5359739819,5857.048269074102,9648.152962669685,5477.919327225063
17,0.5950000000000001,4677.7407205882355,2067.733493654349,8725.758641402716,5701.598684637754,6834.660441176471,4554.240274933073
18,0.6300000000000001,4690.7262692307695,2081.1320064030165,7899.6760282805435,5573.605940657279,4379.647046380091,3699.4391211121556
19,0.665,4713.636928733032,2088.2547601324245,7231.519857466063,5499.123847674827,2980.6600226244345,3249.447539143819
20,0.7000000000000001,4737.3911742081455,2093.4163590675325,6739.980765837104,5467.4851305630045,2502.92503280543,3494.91895397051
21,0.7350000000000001,4752.6675395927605,2113.1377557950877,6374.38769117647,5422.254044526817,2462.4440961538457,4021.579426071255
22,0.77,4760.699365384616,2138.300076123837,6133.660205882353,5415.829093471862,2572.655608597285,4467.534886518325
23,0.805,4762.655073529413,2156.829572371944,5978.546735294118,5476.680531261105,2693.696503393665,4684.525011438227
24,0.8400000000000001,4761.700857466064,2156.3946824621466,5909.1202002262435,5546.658159502992,2831.1397986425345,4783.129762567271
25,0.8750000000000001,4752.545872171946,2143.7591215089446,5884.150269230769,5676.249544914761,2920.470826923077,4806.586887235328
26,0.91,4736.239270361991,2119.33571083187,5878.750057692308,5698.302200957752,2997.403251131222,4864.812486314048
27,0.945,4730.271584841629,2106.172033806075,5855.131234162895,5681.079336854083,3064.3328653846156,4983.095417799128
28,0.98,4719.480022624434,2096.086474131557,5860.435805429865,5630.8925143453835,3111.177957013575,5008.799647153129
