,Distance,Channel 1 Avg,Channel 1 Std,Channel 2 Avg,Channel 2 Std,Channel 3 Avg,Channel 3 Std
0,0.0,7445.333352336174,4624.409337845706,1115.055524537173,522.9537154802229,2196.6332297972376,978.3973162294561
1,0.035,7286.6991792536,4507.576342870966,1102.2813723185425,514.6893910831704,2187.6731601528063,970.4107258226659
2,0.07,7119.80576697032,4367.283745192053,1088.172271818983,505.693259075732,2181.493022627094,962.7468996889271
3,0.105,6970.810501322363,4200.29323991608,1073.5129850132237,494.5076228203106,2176.288647957684,952.2930155349459
4,0.14,6875.350805759624,4049.566582990405,1062.4865304143405,486.0816106193628,2175.0474930943287,939.797020516739
5,0.175,6880.182589186011,3950.2627779475506,1058.2844172788716,478.4536323795617,2179.878903026741,935.4104143113731
6,0.21,6998.51491595651,3905.790948945547,1064.5823026741111,473.16126885854817,2183.3853952394943,933.901004211242
7,0.245,7288.496511607405,3938.8603283072885,1085.5339268292682,476.51799976133725,2186.1946103438145,930.5262233549206
8,0.28,7784.541096091684,4049.8081416440673,1122.5478798119307,487.8271511780283,2195.552513076697,928.2481350585876
9,0.315,8481.295774904496,4237.595167491686,1173.7636691154862,501.7636611156969,2211.7588806935055,927.9814917861354
10,0.35,9341.683474581252,4503.550038183777,1236.5882474287394,520.9197163293203,2232.323477225977,930.4269080313559
11,0.385,10257.208156626506,4834.791438332432,1306.9469353511608,545.0999300371406,2252.7911836614753,929.3002923706578
12,0.42,11081.887155157216,5168.032535661961,1375.1241962973847,572.1175610205929,2275.3092198060535,938.9258731328009
13,0.455,11778.472006464886,5438.9393284788775,1434.8785938877463,596.2859666662496,2290.261393182486,949.8173553597736
14,0.49,12187.202526594181,5572.712333441639,1473.2323082574198,615.2126903182615,2297.040361445783,953.3811194223961
15,0.525,11765.429148104615,5410.030542962893,1461.0392168674698,616.6118278089942,2305.1591830737584,949.6363717449722
16,0.56,11069.426365853658,5137.6939237515835,1421.6906876285632,608.4967718832727,2308.935489568028,947.5692998502604
17,0.5950000000000001,10227.482583602701,4808.8748077948385,1362.2462776961506,590.0895632643951,2304.391431384073,950.2834486884102
18,0.6300000000000001,9294.964742580078,4469.998253386257,1290.9839973552746,563.6491179192311,2290.3447070232146,948.6155656315406
19,0.665,8436.417917719658,4187.464575330221,1219.2133488098737,533.0201472108391,2267.041884513664,946.3781640150337
20,0.7000000000000001,7725.548122538936,3978.7114555082676,1155.6237778430796,507.0460785155069,2236.2938586541286,941.138837771241
21,0.7350000000000001,7229.129476344403,3875.452000910723,1108.8816397296503,491.6300174676505,2212.256589773729,935.6200896562823
22,0.77,6946.462698501323,3877.062437951068,1077.4167581545696,483.88816549608117,2189.7163441081398,929.9863451426476
23,0.805,6830.138908316191,3930.219465413677,1059.57096238613,480.57688477207716,2172.0469741404645,924.0857640705958
24,0.8400000000000001,6842.4017572729945,4043.7846499644156,1052.9265069056714,481.2985726890276,2163.127735821334,923.1073809396278
25,0.8750000000000001,6945.757328533647,4178.646295467961,1055.748830149868,483.22733067892887,2162.2427369967677,924.8328782711283
26,0.91,7103.020250367323,4320.803029797066,1065.9803928886276,487.2842532923204,2164.0762868057595,925.0439344560382
27,0.945,7282.8708216279765,4461.222525075568,1080.2697052600647,493.56516633633873,2169.0077828386716,927.485395056596
28,0.98,7475.78036937996,4611.337478706914,1097.7783205994713,504.81381549099046,2175.548361445783,930.9438459008013
