,Distance,Channel 1,Channel 2,Channel 3
0,0.0,1881865.410000001,1701845.1629999997,1717434.9530000011
1,0.035,1882860.158,1713348.3059999992,1673060.4579999996
2,0.07,1887393.5249999983,1742883.7710000023,1594978.9440000006
3,0.10500000000000001,1895706.797999999,1787090.9970000016,1469100.2619999999
4,0.14,1900130.6450000005,1814244.2799999996,1367603.4970000002
5,0.17500000000000002,1903749.7349999999,1859303.5540000007,1259271.079
6,0.21000000000000002,1904300.8649999988,1914472.8029999994,1216106.7629999993
7,0.24500000000000002,1901975.3559999994,1968497.6309999982,1265527.647
8,0.28,1894937.418000001,2018005.614000001,1488078.7939999998
9,0.31500000000000006,1883280.6349999993,2063559.2230000012,2018861.1380000007
10,0.35000000000000003,1870867.9999999967,2131952.338,3034574.4290000014
11,0.385,1861569.263999998,2218821.6999999993,4499545.070000001
12,0.42000000000000004,1852336.6309999994,2270342.8460000013,6123380.314000003
13,0.45500000000000007,1845478.046000001,2307101.3449999997,7535238.892999996
14,0.49000000000000005,1840190.2680000006,2325374.357999999,8358138.0179999955
15,0.525,1840554.8929999974,2280561.872000001,7274760.330999999
16,0.56,1841096.1649999996,2219290.4040000006,5794975.713000002
17,0.5950000000000001,1850222.5809999988,2166757.037000002,4238906.740000002
18,0.6300000000000001,1857079.0530000012,2095686.0300000007,2692308.528
19,0.665,1868314.2780000009,2039990.5359999978,1733918.7390000017
20,0.7000000000000001,1878104.312999999,1972685.399999999,1247960.4659999986
21,0.7350000000000001,1885332.0170000014,1899478.2440000006,1083500.142
22,0.77,1890871.1519999988,1818639.1290000004,1107190.729000001
23,0.805,1891243.1290000004,1761520.6829999993,1235433.4659999998
24,0.8400000000000001,1894758.8080000016,1712461.7539999986,1402092.3180000011
25,0.8750000000000001,1894031.5059999984,1678440.3300000003,1594291.8909999998
26,0.9100000000000001,1891044.7299999988,1673039.2520000013,1754576.6699999983
27,0.9450000000000001,1884544.6819999986,1658170.1299999997,1851451.4899999988
28,0.9800000000000001,1879579.726,1662746.4799999993,1896199.4110000008
