,Distance,Peak_1 Channel 1,Peak_1 Channel 2,Peak_1 Channel 3,Peak_2 Channel 1,Peak_2 Channel 2,Peak_2 Channel 3,Peak_3 Channel 1,Peak_3 Channel 2,Peak_3 Channel 3,Peak_4 Channel 1,Peak_4 Channel 2,Peak_4 Channel 3,Peak_5 Channel 1,Peak_5 Channel 2,Peak_5 Channel 3,Peak_6 Channel 1,Peak_6 Channel 2,Peak_6 Channel 3,Peak_7 Channel 1,Peak_7 Channel 2,Peak_7 Channel 3,Peak_8 Channel 1,Peak_8 Channel 2,Peak_8 Channel 3,Peak_9 Channel 1,Peak_9 Channel 2,Peak_9 Channel 3,Peak_10 Channel 1,Peak_10 Channel 2,Peak_10 Channel 3,Peak_11 Channel 1,Peak_11 Channel 2,Peak_11 Channel 3,Peak_12 Channel 1,Peak_12 Channel 2,Peak_12 Channel 3,Peak_13 Channel 1,Peak_13 Channel 2,Peak_13 Channel 3,Peak_14 Channel 1,Peak_14 Channel 2,Peak_14 Channel 3,Peak_15 Channel 1,Peak_15 Channel 2,Peak_15 Channel 3,Peak_16 Channel 1,Peak_16 Channel 2,Peak_16 Channel 3,Peak_17 Channel 1,Peak_17 Channel 2,Peak_17 Channel 3,Peak_18 Channel 1,Peak_18 Channel 2,Peak_18 Channel 3,Peak_19 Channel 1,Peak_19 Channel 2,Peak_19 Channel 3,Peak_20 Channel 1,Peak_20 Channel 2,Peak_20 Channel 3,Peak_21 Channel 1,Peak_21 Channel 2,Peak_21 Channel 3,Peak_22 Channel 1,Peak_22 Channel 2,Peak_22 Channel 3,Peak_23 Channel 1,Peak_23 Channel 2,Peak_23 Channel 3,Peak_24 Channel 1,Peak_24 Channel 2,Peak_24 Channel 3,Peak_25 Channel 1,Peak_25 Channel 2,Peak_25 Channel 3,Peak_26 Channel 1,Peak_26 Channel 2,Peak_26 Channel 3,Peak_27 Channel 1,Peak_27 Channel 2,Peak_27 Channel 3,Peak_28 Channel 1,Peak_28 Channel 2,Peak_28 Channel 3,Peak_29 Channel 1,Peak_29 Channel 2,Peak_29 Channel 3,Peak_30 Channel 1,Peak_30 Channel 2,Peak_30 Channel 3,Peak_31 Channel 1,Peak_31 Channel 2,Peak_31 Channel 3,Peak_32 Channel 1,Peak_32 Channel 2,Peak_32 Channel 3,Peak_33 Channel 1,Peak_33 Channel 2,Peak_33 Channel 3,Peak_34 Channel 1,Peak_34 Channel 2,Peak_34 Channel 3,Peak_35 Channel 1,Peak_35 Channel 2,Peak_35 Channel 3,Peak_36 Channel 1,Peak_36 Channel 2,Peak_36 Channel 3,Peak_37 Channel 1,Peak_37 Channel 2,Peak_37 Channel 3,Peak_38 Channel 1,Peak_38 Channel 2,Peak_38 Channel 3,Peak_39 Channel 1,Peak_39 Channel 2,Peak_39 Channel 3,Peak_40 Channel 1,Peak_40 Channel 2,Peak_40 Channel 3,Peak_41 Channel 1,Peak_41 Channel 2,Peak_41 Channel 3,Peak_42 Channel 1,Peak_42 Channel 2,Peak_42 Channel 3,Peak_43 Channel 1,Peak_43 Channel 2,Peak_43 Channel 3,Peak_44 Channel 1,Peak_44 Channel 2,Peak_44 Channel 3,Peak_45 Channel 1,Peak_45 Channel 2,Peak_45 Channel 3,Peak_46 Channel 1,Peak_46 Channel 2,Peak_46 Channel 3,Peak_47 Channel 1,Peak_47 Channel 2,Peak_47 Channel 3,Peak_48 Channel 1,Peak_48 Channel 2,Peak_48 Channel 3,Peak_49 Channel 1,Peak_49 Channel 2,Peak_49 Channel 3,Peak_50 Channel 1,Peak_50 Channel 2,Peak_50 Channel 3,Peak_51 Channel 1,Peak_51 Channel 2,Peak_51 Channel 3,Peak_52 Channel 1,Peak_52 Channel 2,Peak_52 Channel 3,Peak_53 Channel 1,Peak_53 Channel 2,Peak_53 Channel 3,Peak_54 Channel 1,Peak_54 Channel 2,Peak_54 Channel 3,Peak_55 Channel 1,Peak_55 Channel 2,Peak_55 Channel 3,Peak_56 Channel 1,Peak_56 Channel 2,Peak_56 Channel 3,Peak_57 Channel 1,Peak_57 Channel 2,Peak_57 Channel 3,Peak_58 Channel 1,Peak_58 Channel 2,Peak_58 Channel 3,Peak_59 Channel 1,Peak_59 Channel 2,Peak_59 Channel 3,Peak_60 Channel 1,Peak_60 Channel 2,Peak_60 Channel 3,Peak_61 Channel 1,Peak_61 Channel 2,Peak_61 Channel 3,Peak_62 Channel 1,Peak_62 Channel 2,Peak_62 Channel 3,Peak_63 Channel 1,Peak_63 Channel 2,Peak_63 Channel 3,Peak_64 Channel 1,Peak_64 Channel 2,Peak_64 Channel 3,Peak_65 Channel 1,Peak_65 Channel 2,Peak_65 Channel 3,Peak_66 Channel 1,Peak_66 Channel 2,Peak_66 Channel 3,Peak_67 Channel 1,Peak_67 Channel 2,Peak_67 Channel 3,Peak_68 Channel 1,Peak_68 Channel 2,Peak_68 Channel 3,Peak_69 Channel 1,Peak_69 Channel 2,Peak_69 Channel 3,Peak_70 Channel 1,Peak_70 Channel 2,Peak_70 Channel 3,Peak_71 Channel 1,Peak_71 Channel 2,Peak_71 Channel 3,Peak_72 Channel 1,Peak_72 Channel 2,Peak_72 Channel 3,Peak_73 Channel 1,Peak_73 Channel 2,Peak_73 Channel 3,Peak_74 Channel 1,Peak_74 Channel 2,Peak_74 Channel 3,Peak_75 Channel 1,Peak_75 Channel 2,Peak_75 Channel 3,Peak_76 Channel 1,Peak_76 Channel 2,Peak_76 Channel 3
0,0.0,8422.705,9139.652,325.864,3464.108,3047.829,2846.986,2424.44,381.96,280.28,5597.551,1552.168,1557.76,5563.304,414.579,196.746,4453.75,503.54,503.14,5460.08,1229.4,1592.4,3834.518,3797.435,2494.913,3912.59,1837.16,136.97,7341.662,647.358,524.98,5498.76,1703.92,1112.08,2488.36,1788.16,6892.52,2324.0,2972.0,266.0,2661.33,916.28,182.44,2102.341,277.533,370.775,1672.2,1500.88,321.72,4575.88,305.48,202.56,11860.92,1169.08,401.32,4356.11,3033.81,1483.85,7183.468,320.066,356.524,6230.05,580.92,243.89,4776.08,5286.28,925.88,6193.569,2109.596,976.51,6693.19,3288.15,1105.36,5296.546,1160.534,264.691,4520.55,3446.75,386.64,1418.6,183.26,86.42,2049.32,1265.13,203.97,1416.75,2594.4,325.4,4158.0,1181.0,3737.0,4790.89,2268.02,1451.15,2414.9,257.64,74.92,6344.06,3571.33,4010.8,6742.18,831.54,2098.22,6726.82,1260.88,299.54,2289.8,796.04,229.4,3827.517,789.613,1609.873,2426.46,237.868,305.482,1890.74,857.18,214.98,1628.27,5871.08,482.75,2747.362,3889.617,2488.928,5592.224,4896.839,814.727,2107.64,10874.45,7600.5,1310.0,159.5,391.1,1484.56,345.72,184.06,2583.06,10035.875,887.859,3294.5,1075.75,289.25,9562.0,1302.25,317.75,3777.46,1931.42,169.18,3720.282,5703.623,381.853,8902.797,789.208,319.945,6974.925,851.464,190.816,10036.316,1002.025,296.596,3911.192,1804.194,243.44,2233.357,2154.306,1043.425,3199.877,942.485,379.006,11756.87,3270.1,1436.97,2633.617,2538.75,324.595,7864.68,207.76,187.04,3312.633,573.189,1002.725,6783.123,793.102,409.585,2715.719,891.181,1532.214,8816.48,1567.56,4391.04,11595.154,4674.207,494.401,10955.41,1534.79,167.13,6706.52,1251.16,551.28,12380.856,13601.867,893.988,2901.694,1850.696,338.317,5611.56,1044.887,1651.009,3333.052,487.983,239.116,2279.612,173.011,283.328,5139.317,457.51,234.727,5128.466,913.102,861.911,6893.02,306.42,218.38,3255.02,1359.15,206.18,5347.0,918.0,219.0
1,0.035,8060.72,12488.51,551.77,3005.789,3268.332,2390.654,2477.447,274.865,342.61,5223.262,1250.416,2293.229,5956.447,540.303,191.227,4973.584,408.374,448.393,5849.52,1244.16,1594.36,3983.06,4010.99,2793.52,4152.95,1887.07,90.46,5944.32,443.98,379.68,5311.68,1883.04,1766.6,2351.12,1837.24,6608.0,2560.0,2781.0,350.0,2243.99,1154.43,153.63,2499.36,442.68,306.96,1608.18,1290.84,307.62,4751.941,339.922,153.186,10836.16,813.32,309.72,3815.146,2708.978,3046.088,7704.773,294.788,433.142,6493.27,609.21,174.58,4712.47,5686.034,884.526,5622.943,2538.699,984.519,6220.333,3693.58,1101.294,5126.584,1068.646,357.055,3899.09,4059.2,364.98,1301.1,202.48,82.18,1943.95,1462.4,283.22,1595.8,2184.85,301.25,4419.0,995.0,4889.0,5284.01,2488.13,1385.45,2423.34,255.09,90.44,5837.05,3542.95,3083.18,6155.024,1122.357,2058.232,6602.16,2510.96,342.42,2626.823,513.68,276.216,4258.511,709.908,1421.97,2655.329,224.182,313.136,2038.75,853.35,239.03,1713.103,5311.542,610.396,2962.7,3929.94,1808.28,5927.43,6443.571,1489.128,1715.33,10942.194,7077.791,1362.0,238.5,377.2,1564.98,330.56,189.06,2763.335,9916.698,891.275,3463.11,1161.871,315.332,10135.75,1729.5,353.0,4707.82,1758.64,151.71,3624.302,4719.295,303.423,9434.123,577.579,336.993,6973.625,797.964,181.801,9781.102,703.792,302.807,4057.99,1572.58,287.54,2317.665,1911.539,1139.863,3442.099,1149.439,372.781,11773.83,2884.75,1238.45,3137.963,2280.304,332.839,7936.0,281.92,149.88,3118.494,583.309,885.274,6651.465,823.747,459.695,2480.14,896.0,1339.3,8763.811,1474.906,4525.519,11577.758,4695.704,858.729,10978.48,1656.04,116.53,7122.691,1033.54,471.521,12445.2,16023.5,1648.8,2735.964,1832.253,665.326,6867.18,1356.97,909.37,3177.76,664.94,257.31,2226.999,141.344,254.586,4461.82,413.41,297.02,4849.313,868.294,836.223,6942.02,491.14,212.44,2728.427,1284.202,195.616,5277.0,915.0,191.0
2,0.07,7317.803,15102.035,1079.894,2918.455,3240.172,1876.626,2199.276,244.14,362.242,4781.163,1167.723,2902.409,6109.338,669.131,171.336,5371.6,377.0,376.8,6457.414,1379.846,1571.909,4454.785,4386.745,2778.322,4409.44,1762.49,164.45,4664.64,369.9,297.96,5028.48,1958.16,2480.36,2270.04,1868.6,5576.08,2757.0,3008.0,383.0,1985.15,1428.11,178.36,2762.818,614.914,315.445,1799.98,1367.28,233.6,5147.737,374.874,136.764,9549.24,675.224,267.274,3204.958,2105.902,4617.799,8240.835,193.522,450.331,6694.45,658.42,123.35,4764.24,5347.78,828.2,5349.16,3283.04,942.24,5795.0,3432.0,929.0,4950.15,1098.312,419.337,3369.48,4091.16,394.56,1345.5,177.12,98.4,1919.95,1574.19,321.97,1777.4,1525.15,252.6,4610.0,1206.0,5735.0,5854.32,2465.82,1246.3,2434.41,303.64,70.84,5364.45,3035.88,1983.35,5736.648,1439.914,1748.176,6366.6,4249.44,321.4,2805.172,456.863,265.653,4822.122,648.594,1014.801,3028.024,433.38,290.626,2315.509,1242.145,303.77,1926.179,5189.623,740.034,3159.52,3835.0,1160.34,5674.1,7624.2,2675.0,1893.344,11365.141,7041.422,1397.65,276.936,346.037,1765.76,256.6,292.98,3043.812,9168.746,850.341,3353.888,1078.937,313.163,10403.5,2140.0,330.25,5745.31,1454.35,139.99,3415.286,3513.85,212.488,10744.75,467.9,347.8,6871.51,975.1,180.89,9161.65,533.9,225.7,4023.73,1439.61,292.87,2415.403,1965.404,1157.883,3833.79,1511.811,412.283,11840.52,2384.17,1236.38,3573.769,2047.366,334.482,8007.8,370.2,114.88,2903.615,609.105,737.009,6398.762,775.01,513.092,2246.7,706.92,1252.44,8655.3,1477.93,4304.4,11320.4,5156.08,1597.68,10828.72,1550.91,127.07,7423.28,733.04,361.56,12611.682,17469.594,2474.692,2931.83,1987.75,1092.81,7658.284,1871.691,403.427,3066.983,884.019,262.716,2351.181,155.083,434.908,3701.576,387.108,352.292,4504.99,907.478,945.467,6714.24,716.8,243.1,2330.668,1135.937,260.408,5149.146,1308.618,230.841
3,0.10500000000000001,6953.96,17010.56,1854.4,2824.24,2998.24,1459.52,1874.328,652.482,304.369,4704.04,1232.6,3473.02,6158.45,782.811,221.912,5549.8,525.0,297.4,7512.16,1588.91,1634.371,5192.0,4759.75,2518.25,4569.836,1462.781,547.629,3642.14,474.8,326.0,5006.36,2291.71,3164.903,2213.48,1708.36,4302.0,2643.162,3977.652,358.544,1873.07,1598.51,272.25,2959.05,758.81,308.97,2034.5,1870.14,208.94,5815.0,421.0,149.0,8737.603,637.013,233.194,2654.347,1408.766,5912.512,8769.52,150.6,446.2,6839.98,754.86,131.55,5468.01,5164.761,661.955,5323.819,4152.264,822.494,5529.0,3792.0,712.0,4844.2,1008.96,365.56,2931.9,3563.56,483.74,1554.16,119.34,111.84,1993.78,1608.62,287.89,2003.991,1260.676,218.847,4695.0,1226.0,6066.0,6516.905,2393.603,1205.078,2480.71,383.93,54.53,5016.37,2491.41,1065.44,5635.31,1703.267,1264.801,6097.72,5992.22,315.44,2861.104,447.306,252.201,5250.37,782.87,708.49,3366.364,780.925,221.074,2553.0,1947.4,405.6,2085.9,3665.04,784.2,3081.343,3328.212,741.223,5680.812,8839.666,5230.278,2677.808,9934.506,7831.581,1452.028,386.912,319.151,2053.42,88.2,440.64,3308.36,7588.68,869.9,3417.68,1086.88,314.72,10336.5,2551.75,280.25,6633.43,1201.23,142.64,3172.698,2821.893,164.002,11340.972,759.61,316.839,6285.87,846.75,145.48,8447.132,472.293,235.712,3835.07,1254.09,233.33,2507.63,2497.499,1203.138,4426.027,1783.469,391.503,11981.68,3027.78,1205.24,3854.249,2035.438,344.928,8036.0,340.0,127.88,2628.853,624.223,576.272,6056.722,750.21,546.496,2142.322,624.488,1017.645,8551.23,1748.96,3958.26,11149.48,5337.12,2282.08,10590.42,1300.34,143.66,7630.299,426.808,294.867,12692.96,17875.52,3142.94,2932.293,1776.481,1845.835,8157.738,2207.36,222.959,2984.315,1181.855,258.567,2382.17,82.0,706.26,3166.742,341.4,348.446,4442.293,900.378,874.743,6264.2,1021.62,243.7,2017.597,1073.58,584.036,4842.02,1642.26,249.62
4,0.14,6379.32,16506.6,2453.16,2982.802,2677.337,1092.745,1577.825,1539.04,216.582,4351.186,1288.524,3309.865,6058.987,986.582,251.059,5313.4,723.2,256.0,8491.04,1725.28,1531.44,6415.0,5760.5,1795.75,4523.996,1182.419,1057.068,2832.797,691.456,375.76,4717.28,2595.88,3856.04,2170.6,1327.92,3548.44,2568.82,4482.58,269.14,1786.1,1534.007,341.702,2795.38,788.202,310.562,2245.64,2666.12,201.44,6120.0,295.0,164.0,7459.28,504.68,273.88,2190.088,1027.069,6334.01,9017.42,112.163,474.625,6851.153,891.112,172.294,6014.776,4120.996,552.952,4999.225,4667.732,682.946,5233.426,3253.563,591.937,4748.698,1198.274,245.12,2605.86,2741.04,541.16,1904.5,70.28,174.68,2147.9,1627.36,220.22,2189.04,1635.1,216.38,4396.399,1214.191,6146.761,7082.0,2437.4,1375.96,2637.96,471.32,117.8,4854.55,2313.66,512.19,5928.296,2013.441,798.914,5770.96,6987.78,342.16,2815.214,599.356,234.905,5462.39,1034.28,517.13,3614.33,1167.152,170.21,2636.291,2679.061,454.689,2233.14,3657.38,857.592,2866.83,2774.51,858.41,5484.2,9034.2,7772.6,3803.45,8224.65,8780.3,1499.46,710.58,306.12,2323.546,0.349,520.843,3401.077,6298.147,856.862,3234.704,1163.067,272.5,9846.862,3110.518,264.749,7173.37,1031.58,113.88,2964.76,2020.4,161.36,11410.8,1249.92,230.2,5628.471,787.141,161.212,7692.92,448.92,218.04,3541.81,1202.4,177.28,2543.95,3004.526,1348.87,5346.2,1953.92,381.08,12144.24,3999.63,1131.93,4009.951,2329.577,359.605,7977.36,369.48,159.4,2309.8,664.0,418.4,5892.249,1024.465,651.893,2174.264,736.979,785.373,8119.409,2063.624,3041.072,10593.08,5057.88,2625.44,10282.78,1200.2,188.19,8421.144,194.732,296.371,12385.94,17228.58,3101.26,3336.08,1709.82,2449.98,8687.281,2363.791,264.664,2752.68,1159.68,199.2,2436.914,58.4,880.821,2761.4,297.8,283.0,5166.917,895.342,727.915,5653.48,1295.62,193.12,1826.52,1137.4,1348.08,4309.16,1871.08,286.32
5,0.17500000000000002,5980.372,14139.116,2995.89,3470.6,2506.2,815.4,1380.048,2661.851,120.079,3938.292,1283.773,2686.006,5887.376,1403.055,223.367,4740.932,842.798,268.161,9395.284,1675.098,1570.674,7546.6,6556.215,1185.394,4505.35,1229.25,1982.04,2217.6,903.08,504.31,4248.8,2830.12,4166.16,2151.12,844.0,3346.68,2547.14,4989.78,191.04,1724.8,1444.8,364.0,2704.87,853.692,366.809,2639.614,3658.093,245.568,6602.906,852.066,249.776,6446.0,395.56,279.12,1854.063,1207.957,6231.126,9005.967,99.943,520.613,6777.0,935.0,204.0,6785.08,3361.945,464.466,4628.644,4863.951,569.972,5008.78,3173.9,524.06,4699.855,1569.535,167.628,2417.69,1986.24,571.51,2355.76,111.2,251.96,2337.9,1669.1,182.22,2232.22,1902.58,210.92,4181.746,1379.656,5739.293,7393.0,2748.44,1792.28,2842.239,559.677,289.046,4857.959,2071.963,291.419,6639.227,2103.126,550.001,5399.06,6964.44,347.3,2692.8,866.4,195.55,5406.055,1544.613,386.64,3623.352,1403.712,161.919,2694.836,3782.645,432.899,2436.084,3518.602,878.963,2612.35,2181.56,1367.27,5235.944,8629.48,10242.299,4940.45,6567.95,9078.25,1589.288,1558.945,276.019,2506.49,22.793,530.026,3334.329,5651.024,867.581,3036.169,1428.95,284.013,9005.429,4188.408,326.059,7685.83,1093.44,121.92,2789.68,1376.36,185.2,10817.76,1878.8,172.24,5541.681,1402.712,157.149,6992.12,444.92,204.48,3207.38,1378.53,182.6,2562.378,3283.762,1571.227,6519.23,1905.03,468.49,12286.4,4766.95,1016.71,4132.846,2747.685,379.412,7810.16,450.88,136.2,2196.2,680.0,377.0,5808.24,1636.4,846.2,2133.76,682.14,708.72,7536.1,2134.6,1974.2,9542.36,4531.8,2541.12,9844.988,1289.088,219.646,8908.786,403.198,226.465,12351.32,16072.32,2881.56,4101.329,1477.074,2978.749,8317.5,2367.2,299.3,2564.74,1452.02,153.9,2510.719,55.129,984.759,2667.247,278.218,314.801,6086.506,767.37,601.107,4953.54,1559.18,148.88,1738.08,1223.76,2339.0,3945.092,2384.48,463.203
6,0.21000000000000002,5856.908,12279.594,3495.526,4161.6,2649.0,844.55,1285.74,3458.74,130.84,3639.05,1176.65,1971.3,5727.684,2131.287,183.61,4215.936,699.347,307.739,10005.03,1479.56,1670.34,8071.779,6343.193,1004.732,4113.13,1271.089,2604.892,1943.6,1250.38,772.65,3783.52,3275.64,4086.2,2197.4,438.24,3413.64,2526.8,5566.68,224.14,1693.4,1621.6,481.8,2786.5,876.6,380.5,3031.47,4706.74,253.85,6675.22,1345.64,359.42,5862.92,752.24,227.36,1607.72,1978.16,5908.08,8389.787,140.191,595.327,6881.0,1241.0,189.0,7681.254,2839.089,407.357,4556.15,5576.8,492.46,4653.161,3137.433,433.234,4657.466,1894.06,144.242,2316.77,1573.45,553.6,2864.76,181.86,303.72,2517.98,1641.59,153.83,2257.68,2046.24,199.48,3980.144,1406.893,4789.109,7530.76,3453.64,2245.96,2888.12,647.04,518.8,4919.5,1771.0,168.25,7284.37,1788.81,427.84,4956.546,8058.742,321.967,2614.315,1427.076,153.307,5297.72,2271.56,431.04,3514.203,1473.441,167.655,2744.72,4273.52,406.52,2695.98,3034.16,893.98,2179.447,1703.919,2176.978,4863.57,7877.12,12300.37,6003.9,4592.75,8084.5,1702.05,2782.143,352.529,2621.174,240.719,524.167,3140.646,5695.257,917.914,2834.71,1785.702,334.674,8222.57,5010.5,578.59,7983.16,1517.78,251.31,2743.618,1054.684,203.668,10580.724,2478.304,130.136,5204.0,2165.6,202.8,6379.629,431.91,210.448,2896.82,1733.35,262.29,2616.847,3260.528,1858.761,7530.39,1820.69,544.25,12290.81,5220.75,1084.26,4286.633,3107.602,377.043,7481.28,547.726,74.822,2007.762,778.213,417.119,5760.219,2195.961,1062.174,2167.66,567.08,700.3,6991.6,2922.5,1574.4,8322.88,4123.68,2399.48,9741.399,1575.178,185.456,9224.043,1312.495,214.829,12471.83,13820.018,3219.141,5311.75,1278.65,3195.45,8394.464,2375.343,267.237,2336.58,2064.62,145.16,2532.486,61.799,1052.395,2725.857,250.771,317.187,6844.059,672.801,525.948,4258.88,1898.72,161.92,1846.72,1646.348,3363.675,3752.486,2860.64,692.322
7,0.24500000000000002,5475.56,10087.0,3458.64,4889.6,2875.95,1320.8,1377.06,3769.921,170.312,3749.768,856.479,1478.875,5629.909,2971.758,149.12,4026.24,633.64,591.32,10249.998,1400.245,1804.181,8265.637,5704.558,834.436,3656.4,1662.2,3305.0,1781.783,1775.848,1185.43,3338.04,3933.52,4109.4,2330.04,360.16,3577.8,2541.78,5941.1,289.28,1609.4,2136.2,676.6,3001.2,1210.1,347.5,3498.305,5206.786,269.342,6576.269,2000.688,649.01,5248.071,1552.153,284.727,1401.042,3167.222,5106.851,7569.22,319.96,530.17,6990.0,1543.0,238.0,8620.617,2691.189,365.58,4511.8,6229.77,469.24,4223.25,3319.14,382.69,4493.07,2793.58,218.66,2300.33,1584.06,461.23,3400.8,398.36,342.34,2629.502,1464.334,177.563,2309.26,2346.24,196.62,3563.441,1430.189,3511.785,7487.105,4626.477,2526.035,3247.24,957.68,1091.28,5206.25,1720.0,80.0,7552.185,1397.161,396.353,4622.64,8557.54,244.83,2269.091,2011.857,111.044,5158.84,2806.12,478.08,3396.592,1462.273,180.939,2839.76,4362.64,390.8,2878.081,2323.338,750.383,1725.0,1684.84,3601.04,4345.059,6615.16,12628.131,7070.528,2433.168,6052.817,1953.993,4115.911,419.542,2712.579,637.803,535.26,2893.595,8765.485,963.838,2518.186,1986.013,466.105,7443.67,5910.23,1009.92,8916.562,2193.103,331.005,2804.879,1111.798,253.267,10612.38,2924.49,95.57,5169.228,3538.326,498.496,5975.096,352.868,229.286,2669.7,2136.1,419.06,2692.207,3415.145,1878.899,7835.272,1915.072,516.411,11890.51,5340.9,1081.08,4592.76,2856.2,327.08,6744.769,693.891,36.969,1810.495,982.052,417.211,5805.77,2887.2,1292.13,2396.54,405.84,704.7,6493.1,3929.7,1159.1,7250.8,4209.0,2327.2,8454.45,1715.55,231.96,9546.24,2889.0,171.0,12501.667,11491.567,4058.09,7074.055,1515.798,2683.784,8321.635,2457.966,256.111,2159.861,2276.303,205.274,2537.76,491.64,1069.28,2862.0,219.12,337.36,7289.422,1132.387,468.881,3682.12,2734.9,208.86,2143.16,2013.0,4242.48,3594.522,3187.466,915.905
8,0.28,5019.485,8724.243,3171.594,5513.8,3170.1,1987.4,1477.2,4096.2,197.2,3683.964,824.794,941.284,5593.311,3683.966,166.298,3780.44,1082.08,915.0,10757.74,1566.459,1981.177,8508.42,5282.72,656.36,3335.2,2485.0,3804.0,1666.75,2383.25,1847.5,2863.799,4455.353,4381.792,2538.0,702.96,3651.4,2645.4,6055.82,345.3,1471.563,3258.886,1275.005,3183.861,1837.633,286.759,4158.36,4933.52,222.16,6436.257,2789.209,1031.568,4529.997,2224.788,455.525,1241.47,4902.43,4154.59,6652.129,1269.555,483.199,6724.214,1480.601,287.033,9356.3,2870.501,399.48,4389.02,6447.44,456.27,3808.0,4637.32,440.66,4190.21,3766.75,275.32,2387.11,1950.77,305.36,3985.08,1148.2,381.8,2629.188,1231.164,263.768,2390.44,3181.52,195.62,3008.179,1352.104,2410.632,7067.047,5923.079,2408.882,3543.6,1550.44,1838.0,5449.5,1914.0,86.5,7673.724,1354.086,369.295,4334.64,8083.03,193.52,2050.16,2585.12,89.76,4937.282,3985.031,521.638,3321.008,1476.687,182.69,2870.167,4813.083,470.984,3099.595,2006.94,627.762,1431.88,2090.2,4361.52,3762.0,6749.0,13251.0,7849.657,1157.071,4120.364,2244.098,5298.129,440.486,2752.904,1440.845,582.01,2648.538,13528.288,1058.988,2114.96,2363.9,692.32,6739.86,7279.72,1665.96,9600.4,3441.8,400.6,2966.232,2357.813,413.894,10139.94,3644.06,143.07,5206.12,4796.2,1087.86,5816.89,239.395,263.253,2570.26,2553.05,581.7,2778.76,3719.244,1675.708,7428.25,2202.0,490.25,11061.12,5764.87,972.62,4933.964,2831.286,351.38,6206.0,1068.16,217.44,2241.68,1168.12,328.76,5987.296,3730.978,1352.715,3190.853,1205.67,615.787,6040.4,5139.2,757.0,6394.2,5052.64,2289.68,7509.91,2152.7,261.57,9979.862,5045.398,119.455,11796.84,9146.136,5340.597,8330.385,2060.78,2226.76,7972.18,2638.46,249.46,1957.25,2835.05,224.1,2620.688,1097.985,1042.818,2997.04,185.2,330.32,7503.795,1834.085,396.85,3323.64,3801.26,311.46,2613.386,2443.713,4428.264,3452.94,3375.17,962.18
9,0.31500000000000006,4887.55,9376.48,3324.96,5783.834,3417.905,2516.008,1585.835,4130.084,184.482,3734.19,1018.87,551.13,5440.555,3933.078,226.617,3459.48,2251.04,1094.8,11135.908,1781.518,1999.94,8617.18,5436.3,543.6,3069.8,3579.2,3844.6,1814.25,3265.25,2820.5,2556.012,4899.477,4985.468,2837.48,1411.92,3407.16,2853.38,6232.64,422.08,1356.689,4879.972,2037.099,3282.88,2505.62,287.54,4364.24,5609.8,185.36,6076.351,3489.478,1403.59,3604.0,2758.0,689.0,1192.87,5767.14,3111.94,6039.406,2635.29,401.05,6775.38,1453.04,306.98,10342.08,3503.28,508.78,4291.87,6320.58,499.99,3399.967,6320.301,628.079,3899.7,4639.9,303.19,2688.843,2728.676,283.168,4543.82,2379.66,381.62,2725.04,944.7,284.64,2514.917,4644.796,196.411,2405.32,1391.503,1551.592,6738.84,9077.8,2122.2,3758.32,2436.8,2964.88,5536.25,2685.0,130.5,7621.595,1710.98,268.383,4031.13,7212.07,207.64,1780.013,3382.059,126.136,4873.586,6326.609,676.432,3294.448,1862.876,181.945,2920.82,4839.1,575.18,3185.0,1668.8,460.7,1232.52,2618.68,4762.4,3362.0,5595.0,12143.0,8383.376,887.461,2738.252,2579.095,6359.896,488.321,2775.828,2552.399,700.349,2416.943,19008.338,1247.623,1662.64,2802.52,950.36,6169.27,9280.78,2549.07,9949.0,4935.4,430.0,3152.152,5076.846,587.715,10018.992,4433.84,330.247,5065.077,5714.449,1956.966,5710.4,1562.527,315.098,2595.543,3092.124,663.701,2830.3,4245.4,1326.2,6393.5,2813.0,724.0,9976.54,6180.92,914.68,5398.752,3074.878,370.604,5749.76,1694.6,783.68,2943.64,1683.56,268.6,6045.0,4620.4,1331.5,3262.787,2640.374,622.675,5558.6,6341.9,450.3,5918.28,6733.08,2487.96,6989.47,2923.0,344.08,10819.21,7863.58,147.8,11145.66,7929.5,5717.72,9019.54,3139.518,1596.392,7121.02,2863.72,259.24,1858.304,3925.381,369.191,2730.22,1912.84,925.161,3043.8,143.16,565.72,7548.974,2875.73,347.694,3233.28,4885.38,385.48,3301.7,3222.84,4162.36,3355.58,3602.76,901.69
