,Distance,Peak_1 Channel 1,Peak_1 Channel 2,Peak_1 Channel 3,Peak_2 Channel 1,Peak_2 Channel 2,Peak_2 Channel 3,Peak_3 Channel 1,Peak_3 Channel 2,Peak_3 Channel 3,Peak_4 Channel 1,Peak_4 Channel 2,Peak_4 Channel 3,Peak_5 Channel 1,Peak_5 Channel 2,Peak_5 Channel 3,Peak_6 Channel 1,Peak_6 Channel 2,Peak_6 Channel 3,Peak_7 Channel 1,Peak_7 Channel 2,Peak_7 Channel 3,Peak_8 Channel 1,Peak_8 Channel 2,Peak_8 Channel 3,Peak_9 Channel 1,Peak_9 Channel 2,Peak_9 Channel 3,Peak_10 Channel 1,Peak_10 Channel 2,Peak_10 Channel 3,Peak_11 Channel 1,Peak_11 Channel 2,Peak_11 Channel 3,Peak_12 Channel 1,Peak_12 Channel 2,Peak_12 Channel 3,Peak_13 Channel 1,Peak_13 Channel 2,Peak_13 Channel 3,Peak_14 Channel 1,Peak_14 Channel 2,Peak_14 Channel 3,Peak_15 Channel 1,Peak_15 Channel 2,Peak_15 Channel 3,Peak_16 Channel 1,Peak_16 Channel 2,Peak_16 Channel 3,Peak_17 Channel 1,Peak_17 Channel 2,Peak_17 Channel 3,Peak_18 Channel 1,Peak_18 Channel 2,Peak_18 Channel 3,Peak_19 Channel 1,Peak_19 Channel 2,Peak_19 Channel 3,Peak_20 Channel 1,Peak_20 Channel 2,Peak_20 Channel 3,Peak_21 Channel 1,Peak_21 Channel 2,Peak_21 Channel 3,Peak_22 Channel 1,Peak_22 Channel 2,Peak_22 Channel 3,Peak_23 Channel 1,Peak_23 Channel 2,Peak_23 Channel 3,Peak_24 Channel 1,Peak_24 Channel 2,Peak_24 Channel 3,Peak_25 Channel 1,Peak_25 Channel 2,Peak_25 Channel 3,Peak_26 Channel 1,Peak_26 Channel 2,Peak_26 Channel 3,Peak_27 Channel 1,Peak_27 Channel 2,Peak_27 Channel 3,Peak_28 Channel 1,Peak_28 Channel 2,Peak_28 Channel 3,Peak_29 Channel 1,Peak_29 Channel 2,Peak_29 Channel 3,Peak_30 Channel 1,Peak_30 Channel 2,Peak_30 Channel 3,Peak_31 Channel 1,Peak_31 Channel 2,Peak_31 Channel 3,Peak_32 Channel 1,Peak_32 Channel 2,Peak_32 Channel 3,Peak_33 Channel 1,Peak_33 Channel 2,Peak_33 Channel 3,Peak_34 Channel 1,Peak_34 Channel 2,Peak_34 Channel 3,Peak_35 Channel 1,Peak_35 Channel 2,Peak_35 Channel 3,Peak_36 Channel 1,Peak_36 Channel 2,Peak_36 Channel 3,Peak_37 Channel 1,Peak_37 Channel 2,Peak_37 Channel 3,Peak_38 Channel 1,Peak_38 Channel 2,Peak_38 Channel 3,Peak_39 Channel 1,Peak_39 Channel 2,Peak_39 Channel 3,Peak_40 Channel 1,Peak_40 Channel 2,Peak_40 Channel 3,Peak_41 Channel 1,Peak_41 Channel 2,Peak_41 Channel 3,Peak_42 Channel 1,Peak_42 Channel 2,Peak_42 Channel 3,Peak_43 Channel 1,Peak_43 Channel 2,Peak_43 Channel 3,Peak_44 Channel 1,Peak_44 Channel 2,Peak_44 Channel 3,Peak_45 Channel 1,Peak_45 Channel 2,Peak_45 Channel 3,Peak_46 Channel 1,Peak_46 Channel 2,Peak_46 Channel 3,Peak_47 Channel 1,Peak_47 Channel 2,Peak_47 Channel 3,Peak_48 Channel 1,Peak_48 Channel 2,Peak_48 Channel 3,Peak_49 Channel 1,Peak_49 Channel 2,Peak_49 Channel 3,Peak_50 Channel 1,Peak_50 Channel 2,Peak_50 Channel 3,Peak_51 Channel 1,Peak_51 Channel 2,Peak_51 Channel 3,Peak_52 Channel 1,Peak_52 Channel 2,Peak_52 Channel 3,Peak_53 Channel 1,Peak_53 Channel 2,Peak_53 Channel 3,Peak_54 Channel 1,Peak_54 Channel 2,Peak_54 Channel 3,Peak_55 Channel 1,Peak_55 Channel 2,Peak_55 Channel 3,Peak_56 Channel 1,Peak_56 Channel 2,Peak_56 Channel 3,Peak_57 Channel 1,Peak_57 Channel 2,Peak_57 Channel 3,Peak_58 Channel 1,Peak_58 Channel 2,Peak_58 Channel 3,Peak_59 Channel 1,Peak_59 Channel 2,Peak_59 Channel 3,Peak_60 Channel 1,Peak_60 Channel 2,Peak_60 Channel 3,Peak_61 Channel 1,Peak_61 Channel 2,Peak_61 Channel 3,Peak_62 Channel 1,Peak_62 Channel 2,Peak_62 Channel 3,Peak_63 Channel 1,Peak_63 Channel 2,Peak_63 Channel 3,Peak_64 Channel 1,Peak_64 Channel 2,Peak_64 Channel 3,Peak_65 Channel 1,Peak_65 Channel 2,Peak_65 Channel 3,Peak_66 Channel 1,Peak_66 Channel 2,Peak_66 Channel 3,Peak_67 Channel 1,Peak_67 Channel 2,Peak_67 Channel 3,Peak_68 Channel 1,Peak_68 Channel 2,Peak_68 Channel 3,Peak_69 Channel 1,Peak_69 Channel 2,Peak_69 Channel 3
0,0.0,300.52,517.64,423.16,654.447,1857.079,4457.894,252.8,5068.0,1680.5,529.462,2902.937,317.096,237.042,9478.674,5341.364,701.5,831.89,1439.41,527.206,625.078,179.796,312.0,4771.45,410.8,468.6,2985.6,609.7,354.664,14894.18,618.867,594.42,2504.2,2223.31,295.0,11365.2,320.6,608.9,13889.55,1028.4,1191.5,7165.315,4136.146,371.162,1909.437,672.642,850.932,5490.067,456.937,837.9,8949.1,2844.1,750.0,2069.0,354.0,809.8,1939.24,287.4,598.2,3217.789,3751.875,1349.081,9497.718,382.894,995.473,7889.876,11268.305,587.6,5631.64,768.92,392.73,2573.01,1832.02,942.072,5599.563,4205.587,775.472,253.118,435.634,794.48,4493.0,215.08,272.0,3013.45,1887.75,1072.385,1945.159,394.476,459.898,3119.207,229.182,441.916,660.156,377.277,961.733,2174.084,299.661,391.8,2254.44,969.96,1566.0,2323.0,590.0,1339.0,2243.0,654.0,569.676,1030.461,439.502,462.344,915.351,759.729,721.86,1867.06,766.18,191.29,6029.9,257.67,684.12,1658.92,297.52,406.334,1718.723,191.526,1160.908,2065.987,615.088,681.76,1304.44,248.97,301.62,7322.54,2714.02,322.62,11086.98,13636.7,165.711,1759.364,3738.036,592.4,3406.16,1341.32,614.8,6905.0,565.04,250.2,7563.4,493.34,903.145,16490.704,12080.106,681.86,7775.837,811.132,928.377,6826.344,10962.579,784.57,1421.49,5726.43,741.88,2572.3,621.14,213.45,1367.74,767.73,1008.88,7356.86,2585.68,332.026,6857.593,502.157,292.98,902.3,1914.4,500.84,903.04,388.28,314.236,916.018,389.241,446.3,3083.08,2153.3,130.1,5689.5,3097.9,401.36,651.12,991.08,498.78,3659.36,1466.8,358.04,1312.585,745.763,703.1,1924.04,1802.04,990.48,2581.11,2461.49,928.12,1609.4,7040.6,359.33,18323.43,6395.83
1,0.035,247.88,863.92,354.48,582.284,2454.174,4319.197,300.9,6473.3,1387.7,485.71,2785.02,383.83,268.002,12013.818,5065.288,847.6,739.05,833.13,595.786,863.463,156.32,224.945,3024.469,503.103,440.4,2140.4,542.1,431.849,13355.956,544.672,605.911,2007.311,1735.405,325.184,10590.826,355.508,604.344,8073.173,788.741,1121.374,7221.465,5414.946,423.4,2255.3,760.8,872.336,5975.573,391.597,764.805,6609.286,1478.705,724.408,2238.712,317.151,748.843,1854.156,387.749,561.46,4316.83,2621.03,1470.36,8856.33,516.98,1011.0,7213.78,12204.58,458.48,4578.32,865.44,497.237,2228.029,1003.805,1057.06,4692.1,3181.7,653.596,286.041,629.885,650.48,3924.56,241.56,371.54,3058.31,1532.63,1137.97,1942.17,406.92,510.269,4360.216,196.89,507.56,469.48,493.64,875.001,2036.479,276.86,431.7,2268.32,666.86,1792.0,2474.0,724.0,1422.983,2590.734,712.991,799.427,1668.867,575.615,336.226,1107.139,974.942,665.34,2572.38,773.82,194.88,5562.06,385.16,622.24,1494.2,248.8,297.951,1766.4,215.089,1144.956,2593.533,794.709,583.71,2096.7,265.18,397.43,7023.732,3197.851,461.426,8887.531,14686.601,113.48,1247.52,1724.18,580.214,4219.808,1264.063,644.4,6484.32,610.88,290.996,9411.27,643.05,810.503,19173.96,15887.212,751.5,9169.26,838.68,879.9,7392.0,12883.8,713.99,1490.17,5768.05,931.949,2224.373,652.525,170.33,1633.5,767.9,1038.86,8636.88,2361.1,276.758,8814.559,649.744,242.495,1265.419,1550.712,457.92,1333.64,420.6,300.42,949.12,402.23,434.8,2754.58,1569.2,100.01,6965.57,3317.55,415.816,633.425,794.809,560.16,4091.34,1182.28,437.565,1886.806,864.427,675.241,1992.278,2150.18,1073.736,2743.919,2529.106,712.072,1947.077,7274.151,400.486,18169.27,6829.975
2,0.07,240.954,1340.03,341.547,542.752,3147.369,3712.158,347.101,8250.822,1058.579,441.805,2668.767,402.093,389.156,14248.83,4464.393,973.17,842.86,582.42,675.313,1180.422,164.068,171.58,2185.74,610.86,386.6,1615.0,448.9,497.879,10781.768,474.892,584.804,1612.054,1324.025,395.1,10370.88,348.76,570.5,4906.38,683.1,945.103,7321.502,6027.07,465.956,3066.665,874.156,891.99,6602.864,356.707,667.554,4764.618,719.447,673.04,2936.54,302.86,664.062,2671.697,501.049,471.17,6343.93,1795.92,1489.685,8923.998,1194.51,1031.113,6132.262,12748.332,397.968,4748.792,872.33,598.943,2046.589,947.033,1088.0,4532.18,2661.2,522.353,494.08,742.55,506.88,3456.2,274.44,488.06,3113.67,1013.5,1184.078,1977.824,337.393,561.0,5146.4,191.76,656.8,504.8,525.68,751.57,2486.62,347.4,456.675,1785.586,480.332,1906.0,2669.0,849.0,1544.28,2476.1,786.02,1031.214,2554.763,684.539,222.339,1433.677,1032.412,633.44,3391.54,719.82,179.86,4788.37,667.77,553.04,1457.12,288.36,203.252,3613.193,187.299,1125.062,2760.963,1076.349,455.659,2999.637,404.106,512.91,6405.23,3833.13,569.566,7092.478,15220.326,133.042,1636.204,814.726,546.866,5071.735,1253.573,642.776,5312.679,592.572,392.006,11762.683,872.482,665.264,20814.809,17707.347,876.5,10190.62,736.86,810.1,7422.2,13187.7,757.41,1860.96,5359.6,1109.668,1732.131,583.785,130.724,2099.751,694.259,1010.24,9801.58,2151.4,241.8,11432.96,910.96,230.294,1457.391,1784.447,444.0,2323.08,402.16,267.53,870.36,303.8,497.734,2438.237,898.177,67.01,9091.77,3218.27,410.602,397.649,1120.27,648.04,4383.42,949.68,562.037,2552.246,899.978,671.12,2105.06,2300.81,1264.8,2827.4,2215.2,558.35,3031.45,6087.8,431.003,18533.992,6706.148
3,0.10500000000000001,298.964,1508.722,329.046,540.662,3762.7,2629.202,373.752,10586.507,674.327,358.571,2427.227,384.801,554.06,15812.58,3895.78,1080.753,1151.591,570.15,760.746,1603.617,214.696,168.28,2384.1,494.78,361.3,1565.3,430.9,539.37,7572.01,343.264,550.96,1219.72,983.16,483.414,9384.299,439.856,545.72,3985.68,687.0,734.346,7182.345,6053.953,502.186,3553.193,1040.95,873.654,6775.637,491.321,535.069,3848.253,368.237,636.399,3769.738,374.488,541.55,3782.789,558.289,389.38,8798.4,1205.82,1439.301,9418.931,2921.233,1076.32,4335.96,12852.33,394.089,5066.275,772.963,657.386,2306.821,900.495,1035.033,3815.559,1778.56,429.96,922.12,884.08,369.24,3297.52,316.32,571.25,3646.45,704.45,1200.2,2054.4,260.76,582.88,4974.32,241.32,805.68,799.12,401.6,635.09,4217.08,415.36,510.44,1288.22,357.58,1880.0,2455.0,885.0,1587.796,2159.345,1053.584,1272.667,3252.015,808.328,137.604,2011.131,975.68,655.62,4215.94,919.3,149.18,3876.21,1046.65,520.12,1386.92,378.2,139.2,4156.96,192.23,1077.717,2443.255,1502.128,336.66,3756.743,599.312,597.648,5501.713,4542.587,645.204,5709.892,13782.381,191.353,2132.072,535.283,475.13,6118.87,1474.98,598.86,4077.057,604.065,543.82,13797.88,1119.78,543.76,22465.58,20539.08,1000.4,10230.62,606.96,740.9,7034.0,11544.9,894.16,2369.64,4753.1,1241.249,1153.112,404.04,139.6,3346.8,628.0,961.048,11926.061,1625.212,252.35,14053.064,1198.395,228.0,1741.24,1909.17,454.92,3736.64,440.28,250.96,670.61,255.64,618.29,2439.42,468.77,35.335,11414.285,3605.66,391.436,267.499,1538.76,721.58,4489.08,754.28,688.276,3271.172,905.906,658.932,2513.739,2069.478,1444.476,2737.081,1964.934,496.664,5228.824,4356.157,429.153,19061.988,6758.137
4,0.14,399.32,2435.96,327.28,564.665,4196.964,1672.756,359.704,11722.943,509.425,298.04,1988.4,327.22,695.152,15711.902,3984.736,1171.76,1445.84,707.08,842.954,2005.698,241.084,180.74,2251.8,368.12,403.629,1815.989,703.135,556.805,5135.36,593.429,476.722,1402.324,1012.264,540.787,9352.51,728.212,532.435,3585.197,634.794,531.987,6702.208,5325.466,531.12,3521.56,1277.64,839.836,6249.85,715.545,433.38,3713.19,280.82,616.463,4556.854,399.49,486.58,5265.41,722.16,365.31,11133.37,847.56,1353.459,9815.735,5421.254,1086.614,3710.673,13811.983,428.024,5108.733,601.667,659.571,2976.313,720.391,954.1,2968.68,1173.2,379.663,1154.538,838.125,249.64,3455.44,352.84,606.838,5053.321,496.181,1109.4,1792.52,227.84,565.28,5355.4,327.36,928.92,1418.88,286.84,528.19,7078.52,578.3,598.64,1035.36,397.52,1572.852,2633.931,867.852,1602.597,1830.069,1389.207,1457.337,3473.64,838.393,107.413,2675.288,927.749,686.18,4908.54,1538.0,118.2,3361.99,1504.27,536.6,1205.64,443.84,102.45,3826.81,186.49,992.82,1822.24,1471.92,215.462,4053.918,766.661,685.84,4679.32,5521.96,647.609,5124.297,10955.802,288.6,2603.3,522.6,356.26,6920.14,1803.87,526.13,3159.165,703.539,685.9,14276.607,1338.889,408.909,21390.916,19664.832,1116.66,9284.2,358.18,689.0,6541.9,8980.5,1054.5,2868.24,4199.95,1230.797,849.9,488.88,194.2,5744.2,693.8,912.76,14987.173,1416.379,331.25,16208.0,1548.85,251.547,2239.072,2115.707,539.272,5085.987,518.278,276.72,450.25,216.91,830.07,3044.56,415.51,40.58,12109.183,3588.469,354.56,242.04,2069.12,728.647,5007.829,620.83,796.381,3929.714,980.053,639.36,3269.24,1800.24,1612.852,2488.953,1669.827,486.222,7296.168,2853.077,438.8,20147.54,7058.28
5,0.17500000000000002,497.96,3597.16,479.92,594.291,4440.746,1219.27,336.663,11800.303,662.673,287.54,1394.63,473.06,897.613,14313.639,2738.41,1137.68,1908.12,906.88,915.812,2247.106,230.543,217.894,2145.411,368.765,411.955,1824.515,1147.586,550.466,3781.026,1118.293,391.92,2041.3,1042.42,562.279,8996.764,1073.605,558.767,3831.796,549.044,391.719,6169.144,4361.477,559.72,2826.48,1471.14,811.43,5873.87,990.54,358.12,4418.05,272.77,590.366,5337.363,395.782,450.321,5773.476,817.03,384.95,12604.3,658.58,1135.4,10185.78,6904.52,1080.593,3301.918,12086.454,448.882,4335.491,544.554,636.216,3616.209,701.154,861.26,2333.49,1138.84,366.765,1240.439,1008.34,160.92,3770.0,485.76,607.914,7096.057,467.719,1006.539,1446.643,273.629,502.45,5678.162,481.393,987.343,2228.997,336.197,513.009,11606.994,947.55,653.97,974.8,404.68,1348.08,2444.68,931.72,1553.087,1398.9,1600.175,1533.57,3573.66,792.54,146.523,3175.41,1012.55,694.24,5399.68,2337.4,116.53,3777.09,2044.85,582.72,972.04,565.64,76.75,4033.43,309.69,872.714,1505.375,1222.569,138.35,3972.934,818.172,654.6,4052.52,6206.0,645.16,5171.75,8532.32,344.093,3361.156,718.977,226.453,7723.231,2236.597,459.475,3019.542,1106.326,838.55,13867.92,1790.79,307.0,19967.0,19112.0,1205.14,7699.98,278.22,669.6,6427.2,5998.0,1127.918,4365.564,3216.516,1144.2,955.1,651.7,271.858,9791.848,1126.409,888.514,18166.951,1353.446,410.706,16452.695,1993.782,268.64,2774.6,2285.32,652.766,5706.361,563.542,328.72,291.692,195.334,1040.73,3917.59,620.84,41.7,13769.5,4211.2,296.6,430.72,2634.52,699.55,5877.73,491.04,880.338,4670.731,1087.749,586.86,4421.44,1349.02,1791.674,1914.702,1188.753,482.687,8731.68,2026.075,481.32,21609.82,7381.32
6,0.21000000000000002,564.32,4448.52,797.32,601.614,4391.233,1653.755,323.166,11021.559,1106.46,287.343,1695.677,816.908,1094.731,11885.559,1651.609,1030.0,2225.2,1089.68,917.883,2169.041,313.477,294.28,2329.9,445.16,315.0,3410.01,1635.63,509.454,3637.155,1726.127,394.504,3759.998,1028.28,571.399,8478.534,1505.033,610.88,4277.07,435.23,313.695,5942.072,3234.415,548.359,2056.871,1717.133,767.74,6422.1,1209.09,300.316,5167.99,626.713,579.034,5711.257,476.646,414.077,5663.595,987.831,410.62,12644.06,505.15,1065.827,9993.702,8897.849,1016.134,3832.995,9008.369,497.18,3413.0,638.94,602.401,4192.618,820.42,796.04,1636.19,1450.22,364.79,1230.405,1454.83,113.28,4029.24,736.12,594.649,9464.215,478.58,908.3,1316.13,661.16,425.278,5291.132,471.093,980.71,3025.11,459.96,547.38,17311.03,1392.18,637.086,1324.675,322.212,1068.81,2537.026,985.012,1390.424,1091.545,1480.538,1307.647,4325.581,942.777,200.6,2740.7,1280.4,655.14,6575.36,3104.94,154.06,4311.21,2607.59,638.84,853.28,1268.08,56.4,7814.71,657.52,690.47,1494.74,1618.3,103.894,3732.744,836.049,573.4,3697.16,6242.84,573.529,5600.906,6023.766,432.207,4583.059,933.634,142.913,9701.98,2727.17,413.718,3185.875,1666.158,936.701,12693.275,2640.059,232.5,18063.0,19342.5,1228.06,6090.1,421.02,717.7,7064.11,4067.999,1098.556,7031.717,3480.311,972.989,1334.984,729.909,349.719,14791.893,1725.648,899.967,20295.934,1458.574,517.48,15695.96,2683.92,285.429,3203.843,2254.344,742.426,5424.362,565.39,374.0,230.5,289.85,1224.72,5085.01,1052.5,49.7,15594.0,5066.4,233.04,716.0,3339.08,618.022,6881.917,416.33,920.109,5705.49,1219.723,514.22,5714.68,1075.64,1856.942,1768.394,1227.259,458.2,11036.5,2006.8,534.04,22540.6,7746.26
7,0.24500000000000002,575.72,4771.88,1371.68,564.212,3991.921,2866.609,332.028,8737.736,1837.871,313.4,2103.8,1271.4,1301.81,9574.69,1340.91,880.88,2273.32,1244.96,872.163,1834.222,374.804,392.927,1858.741,672.63,268.441,5728.511,2226.99,474.946,4751.921,2234.118,446.78,5305.15,1075.68,579.714,7720.915,2044.545,641.758,4848.245,362.823,284.58,6247.71,2300.32,488.392,1897.49,1947.871,680.09,7947.083,1527.108,236.04,5487.32,1334.32,547.254,5845.73,833.422,384.265,5647.637,1348.46,466.28,11181.31,609.72,1018.231,9747.351,9994.753,912.15,5103.313,5705.603,521.62,2545.56,876.18,559.637,4482.671,1155.894,706.589,1152.172,2100.222,351.134,1204.139,2017.299,107.896,4017.415,1006.057,623.536,11142.279,612.098,717.4,794.81,1441.47,319.92,5092.88,444.0,936.641,3792.809,698.437,469.35,24157.66,2081.3,581.96,2045.6,230.28,828.09,2682.07,963.02,1187.96,1069.417,1402.541,1030.16,5918.13,1321.19,256.582,2988.118,1573.009,561.32,7325.86,3763.24,215.86,4821.35,3117.06,657.28,958.52,2196.88,45.7,12434.59,1069.88,501.402,1581.244,2570.102,97.179,3386.57,1125.418,483.451,4037.785,5878.346,445.64,6638.005,3919.893,496.415,6911.781,1342.332,117.8,11386.8,3368.8,389.244,3467.178,2382.85,994.052,12249.907,3616.723,174.022,15534.553,15440.331,1191.6,5089.86,893.52,792.0,7568.2,3073.4,1021.539,9942.9,4632.063,830.332,1808.642,691.029,413.548,21006.742,2396.101,962.57,20873.253,1645.065,625.0,13455.4,3470.08,271.09,3879.41,2360.01,810.385,4762.877,754.055,452.95,650.85,740.65,1347.37,6757.34,1626.68,63.956,14775.417,6271.1,176.72,1134.8,4319.68,536.402,8809.359,559.327,986.63,7338.2,1569.2,449.16,6905.94,967.16,1840.06,1768.71,1657.42,435.3,12297.35,2675.85,593.795,22100.442,7984.982
8,0.28,527.547,4479.993,2133.455,513.633,3407.727,4250.209,375.34,6247.99,2357.41,436.826,2417.218,2016.485,1461.734,7507.474,1837.038,745.96,2149.32,1528.16,790.905,1483.345,630.545,616.309,2285.207,728.968,187.32,8754.44,2795.44,461.561,6465.679,2606.471,502.561,5796.439,1245.561,536.0,6263.04,2575.6,666.6,5594.28,348.72,255.418,7110.608,2089.237,398.88,2089.96,2336.28,586.66,10609.58,2109.02,163.01,5683.228,2189.655,523.57,5636.11,1519.14,357.054,5911.531,2223.421,503.46,8678.65,1360.36,975.413,9380.723,10409.92,777.647,6398.638,3122.032,482.402,2180.93,1335.01,534.361,4895.216,1700.409,609.12,851.88,2966.76,314.0,1343.6,2524.48,135.889,3310.275,1093.997,697.6,13168.52,1228.76,498.69,535.16,2493.29,226.194,6083.729,465.408,852.199,5169.716,1091.052,365.78,30113.88,2816.26,513.125,2790.753,273.678,610.658,2632.965,905.516,960.72,1261.5,1793.6,836.591,7977.166,1665.162,304.423,3562.445,2067.688,432.629,7213.444,4991.414,311.07,4985.178,3597.075,620.96,1229.92,3137.48,50.58,16255.94,1431.01,345.0,1643.25,3765.75,96.05,3253.25,1772.85,461.947,5573.27,6353.19,303.077,7926.53,3235.84,532.13,10483.27,1899.22,116.4,12499.2,4327.8,414.19,3865.12,2986.42,1024.515,12046.441,5024.74,150.56,13534.9,9903.14,1117.42,4699.88,2154.94,856.8,8326.8,3085.4,929.438,11607.946,5439.023,704.668,2439.686,568.3,441.69,27579.83,2974.03,1053.462,19722.747,1846.614,781.138,10975.978,4531.967,286.361,3743.181,2480.751,898.751,4103.842,1213.077,510.45,1268.1,1838.35,1415.55,8754.76,2239.85,79.56,13748.66,7114.44,142.052,2427.299,5805.119,444.986,10560.15,870.489,1058.97,8620.37,2212.64,428.287,8083.067,926.676,1750.54,1732.78,2003.58,432.326,10766.75,3919.388,661.74,21165.36,8284.91
9,0.31500000000000006,463.62,4205.56,3098.41,464.8,2708.45,5446.35,430.82,3905.62,2883.35,641.767,2572.913,3013.539,1563.331,6086.254,2811.398,659.234,2321.281,2048.204,668.692,1768.901,1549.828,829.76,2311.98,1037.26,136.16,11334.16,3499.4,446.122,8439.075,2838.775,562.412,7321.761,1663.164,481.703,8238.874,3037.377,687.36,6044.76,617.98,260.22,7795.691,1978.228,400.001,2103.617,3183.447,526.36,14344.82,3016.2,127.34,6009.44,3132.24,507.27,5020.94,1795.45,368.3,6837.05,3446.06,493.605,5783.952,2771.279,973.322,8811.952,10727.008,628.187,6818.236,2101.568,420.45,2132.77,2345.52,534.8,5686.28,2594.76,491.063,736.462,3470.624,257.34,1494.8,3257.68,192.12,3107.16,2676.48,778.47,13483.086,2296.912,326.58,721.92,3632.03,155.215,8839.263,808.69,719.1,7193.5,1885.5,277.37,33778.47,3734.38,437.019,3635.182,1424.171,404.436,3100.551,1317.289,716.032,1370.652,2716.117,589.891,9949.939,2522.768,336.74,4925.94,2808.6,421.379,6932.741,6487.38,426.68,4905.12,3849.88,558.862,1503.731,3727.311,57.466,20757.821,2262.249,251.5,1436.0,5007.25,136.372,2925.008,2544.297,384.56,7995.64,6813.4,279.38,9551.34,3691.74,539.526,14735.086,2522.446,85.481,14996.842,5286.897,411.158,3968.455,3555.683,1006.161,12448.3,6784.23,145.985,11954.948,6022.308,1028.86,4700.08,4034.02,893.2,9204.8,4168.2,865.9,12985.88,6318.8,619.15,3055.9,545.8,433.427,29853.691,3797.816,1136.351,16567.561,2255.638,917.323,8712.317,5515.729,289.233,4478.782,2847.531,1110.831,3701.302,2153.511,535.993,1898.59,3083.472,1456.65,10734.47,2817.41,128.22,13121.44,7161.08,133.745,4636.173,7597.202,387.88,12379.04,1182.28,1099.93,8624.28,3062.19,485.313,9365.009,1313.997,1642.04,1615.32,2376.5,433.44,8866.84,5122.48,798.112,21095.305,8584.23
