,Distance,Peak_1 Channel 1,Peak_1 Channel 2,Peak_1 Channel 3,Peak_2 Channel 1,Peak_2 Channel 2,Peak_2 Channel 3,Peak_3 Channel 1,Peak_3 Channel 2,Peak_3 Channel 3,Peak_4 Channel 1,Peak_4 Channel 2,Peak_4 Channel 3,Peak_5 Channel 1,Peak_5 Channel 2,Peak_5 Channel 3,Peak_6 Channel 1,Peak_6 Channel 2,Peak_6 Channel 3,Peak_7 Channel 1,Peak_7 Channel 2,Peak_7 Channel 3,Peak_8 Channel 1,Peak_8 Channel 2,Peak_8 Channel 3,Peak_9 Channel 1,Peak_9 Channel 2,Peak_9 Channel 3,Peak_10 Channel 1,Peak_10 Channel 2,Peak_10 Channel 3,Peak_11 Channel 1,Peak_11 Channel 2,Peak_11 Channel 3,Peak_12 Channel 1,Peak_12 Channel 2,Peak_12 Channel 3,Peak_13 Channel 1,Peak_13 Channel 2,Peak_13 Channel 3,Peak_14 Channel 1,Peak_14 Channel 2,Peak_14 Channel 3,Peak_15 Channel 1,Peak_15 Channel 2,Peak_15 Channel 3,Peak_16 Channel 1,Peak_16 Channel 2,Peak_16 Channel 3,Peak_17 Channel 1,Peak_17 Channel 2,Peak_17 Channel 3,Peak_18 Channel 1,Peak_18 Channel 2,Peak_18 Channel 3,Peak_19 Channel 1,Peak_19 Channel 2,Peak_19 Channel 3,Peak_20 Channel 1,Peak_20 Channel 2,Peak_20 Channel 3,Peak_21 Channel 1,Peak_21 Channel 2,Peak_21 Channel 3,Peak_22 Channel 1,Peak_22 Channel 2,Peak_22 Channel 3,Peak_23 Channel 1,Peak_23 Channel 2,Peak_23 Channel 3,Peak_24 Channel 1,Peak_24 Channel 2,Peak_24 Channel 3,Peak_25 Channel 1,Peak_25 Channel 2,Peak_25 Channel 3,Peak_26 Channel 1,Peak_26 Channel 2,Peak_26 Channel 3,Peak_27 Channel 1,Peak_27 Channel 2,Peak_27 Channel 3,Peak_28 Channel 1,Peak_28 Channel 2,Peak_28 Channel 3,Peak_29 Channel 1,Peak_29 Channel 2,Peak_29 Channel 3,Peak_30 Channel 1,Peak_30 Channel 2,Peak_30 Channel 3,Peak_31 Channel 1,Peak_31 Channel 2,Peak_31 Channel 3,Peak_32 Channel 1,Peak_32 Channel 2,Peak_32 Channel 3,Peak_33 Channel 1,Peak_33 Channel 2,Peak_33 Channel 3,Peak_34 Channel 1,Peak_34 Channel 2,Peak_34 Channel 3,Peak_35 Channel 1,Peak_35 Channel 2,Peak_35 Channel 3,Peak_36 Channel 1,Peak_36 Channel 2,Peak_36 Channel 3,Peak_37 Channel 1,Peak_37 Channel 2,Peak_37 Channel 3,Peak_38 Channel 1,Peak_38 Channel 2,Peak_38 Channel 3,Peak_39 Channel 1,Peak_39 Channel 2,Peak_39 Channel 3,Peak_40 Channel 1,Peak_40 Channel 2,Peak_40 Channel 3,Peak_41 Channel 1,Peak_41 Channel 2,Peak_41 Channel 3,Peak_42 Channel 1,Peak_42 Channel 2,Peak_42 Channel 3,Peak_43 Channel 1,Peak_43 Channel 2,Peak_43 Channel 3,Peak_44 Channel 1,Peak_44 Channel 2,Peak_44 Channel 3,Peak_45 Channel 1,Peak_45 Channel 2,Peak_45 Channel 3,Peak_46 Channel 1,Peak_46 Channel 2,Peak_46 Channel 3,Peak_47 Channel 1,Peak_47 Channel 2,Peak_47 Channel 3,Peak_48 Channel 1,Peak_48 Channel 2,Peak_48 Channel 3,Peak_49 Channel 1,Peak_49 Channel 2,Peak_49 Channel 3,Peak_50 Channel 1,Peak_50 Channel 2,Peak_50 Channel 3,Peak_51 Channel 1,Peak_51 Channel 2,Peak_51 Channel 3,Peak_52 Channel 1,Peak_52 Channel 2,Peak_52 Channel 3
0,0.0,995.0,2875.0,398.0,957.72,10810.56,3139.92,1497.36,988.7,1043.9,740.791,6778.195,395.954,562.18,4785.257,12229.506,1045.567,3638.732,4397.245,1240.345,16294.068,8507.79,608.93,11123.688,649.668,1309.272,4561.609,424.923,847.452,8939.563,5481.797,1415.206,9968.481,726.86,1295.84,9621.56,704.16,872.636,5249.066,497.144,869.92,3777.68,290.04,1277.033,5496.505,1085.673,1087.562,3095.001,733.857,922.85,6499.95,498.6,1249.361,9315.011,4478.084,1509.08,6596.8,796.96,1382.086,42084.994,21244.411,1210.866,5795.23,421.252,662.32,5653.4,374.28,2041.13,29022.58,3076.65,1190.857,12810.808,4288.435,1040.95,17278.05,1177.45,718.121,5999.589,505.383,1395.8,6045.6,259.2,2070.181,6841.593,660.212,1550.0,16292.0,6063.0,1171.5,9050.2,4005.72,1254.769,8966.005,2347.388,1465.32,7144.64,2105.32,1457.3,10791.42,2539.16,1175.417,12872.688,406.153,1566.08,8207.743,5907.438,905.16,1259.0,349.1,1226.75,9130.0,381.75,1908.813,16627.288,2552.098,1628.33,8804.102,435.935,1493.08,5420.6,1790.4,1750.64,15962.16,849.0,916.2,3580.3,467.64,1450.017,3072.525,1981.768,1548.39,3176.217,568.364,606.52,5931.64,10044.04,1135.798,16562.12,1103.875,1168.75,15994.47,478.96,2259.332,871.115,12949.297,958.13,6980.05,808.9,1010.54,14911.307,722.492,888.617,2637.531,439.415,800.84,8043.02,2118.9
1,0.035,1027.0,2545.0,395.0,1030.375,11662.363,4578.365,1385.44,1072.14,1024.74,769.622,8443.394,594.321,453.98,4455.629,17201.631,1174.68,3722.57,6202.73,1273.49,21206.22,6064.86,613.88,11599.467,732.595,1244.743,3654.28,424.541,809.117,7639.745,4284.281,1315.0,9796.0,904.0,1326.909,10547.479,674.407,1051.36,5231.44,468.4,922.6,4088.12,306.64,1249.677,5030.681,1494.31,1049.056,3806.199,673.65,1049.109,6379.734,540.483,1266.111,8367.635,2974.912,1570.055,7353.287,910.688,1323.951,50529.224,21834.594,1171.87,5999.119,526.362,690.28,4853.76,353.08,1983.886,22887.018,2140.842,1184.1,15560.12,5830.0,1068.45,11552.15,825.7,776.9,6151.98,598.58,1411.4,5557.0,256.6,2055.482,7095.489,634.164,1398.0,18935.0,6169.0,1301.12,9220.24,3033.04,1232.836,6593.203,2049.682,1468.059,5532.607,808.933,1468.24,8781.04,1848.0,1263.478,13852.027,481.503,1726.5,7449.0,5244.5,845.26,911.88,376.93,1283.377,6068.126,303.236,1803.082,15808.895,1733.256,1639.689,10789.283,437.141,1485.88,4991.04,1354.84,1661.79,16725.36,708.98,893.645,3640.199,632.66,1587.6,2704.23,1060.09,1446.74,3419.04,703.54,752.24,6477.04,8234.92,1124.293,13483.57,789.618,1098.31,17413.22,919.2,1974.22,592.82,12163.46,970.812,10926.938,1112.37,1056.92,16876.51,612.71,960.8,3321.8,376.0,813.34,7793.92,2336.8
2,0.07,1070.184,2093.348,390.855,992.219,10751.445,7217.565,1281.527,1051.66,1024.667,803.699,9501.884,812.458,435.121,4165.699,20249.317,1302.039,3320.62,6781.731,1294.711,26402.323,4407.742,613.471,10435.945,706.388,1163.6,3471.38,460.65,780.49,7085.2,3185.8,1261.038,9779.714,949.466,1426.985,9531.549,635.692,1210.84,5997.88,540.0,1016.08,4807.0,378.08,1220.7,5642.53,2166.78,1012.08,4596.784,741.35,1185.452,5693.001,626.299,1321.79,8573.15,2036.93,1558.942,7939.706,1025.898,1205.693,55224.137,19157.125,1153.25,6367.037,706.838,745.812,4366.156,338.546,1908.16,18761.04,1520.04,1170.28,18104.22,7037.98,1107.773,9379.478,661.627,872.971,6059.204,480.325,1439.803,5410.814,294.157,2032.055,7616.741,640.452,1264.0,20859.0,5297.0,1460.994,8551.845,2184.948,1179.3,4885.6,1173.3,1432.89,4239.681,627.408,1484.22,8841.02,1209.38,1385.604,14583.071,565.02,1797.966,6641.471,4679.272,784.33,860.43,450.67,1305.541,3931.656,270.959,1689.457,13528.432,1120.231,1660.06,13954.52,588.66,1426.4,4930.32,974.84,1527.26,15385.91,568.23,904.42,3505.61,817.44,1697.04,2805.85,501.71,1270.765,3319.542,836.115,867.13,7195.345,6746.306,1107.088,10813.316,629.627,1049.02,16765.9,1604.71,1740.06,509.92,11686.2,1033.306,16785.995,1479.748,1085.631,17217.184,569.88,1022.2,4193.2,469.8,856.415,7288.06,2740.486
3,0.10500000000000001,1087.04,1680.64,345.54,940.988,8807.517,9417.565,1200.21,1016.82,1121.81,851.566,9888.343,1115.96,487.304,4000.664,21497.404,1438.08,3010.48,7179.28,1309.06,33546.18,3124.18,622.774,8738.204,634.534,1091.631,3913.463,478.787,735.82,7289.142,2137.846,1214.08,9381.908,861.542,1426.8,9771.04,749.72,1275.84,6411.36,513.72,1093.6,5000.894,620.61,1073.425,6885.745,3072.215,948.305,5432.926,806.544,1284.276,5080.994,618.973,1359.56,8119.804,1055.888,1484.579,8237.369,1103.526,1100.918,55939.234,15242.248,1105.576,6762.042,1155.559,796.859,4702.031,257.646,1834.68,13819.36,914.16,1149.42,19524.06,7553.96,1148.0,9119.0,567.92,997.229,6495.165,474.679,1496.17,5296.1,349.21,1983.88,8232.8,642.78,1175.0,20936.0,3805.0,1608.264,8220.711,1404.131,1118.393,3870.603,825.322,1370.12,3497.76,655.0,1499.9,8739.04,754.84,1508.92,15435.386,652.952,1816.312,5790.321,4069.412,725.48,1095.94,491.19,1322.09,2416.01,374.09,1582.95,11019.84,676.464,1625.973,19454.119,662.774,1311.72,4985.92,611.96,1375.74,12793.56,449.03,880.073,3598.388,927.404,1770.85,3331.35,478.48,1114.997,2871.288,844.671,965.181,7890.468,4856.243,1090.416,9008.292,494.594,1009.49,14266.9,2322.64,1950.82,478.68,10765.82,1119.573,23931.248,1817.317,1140.0,16540.0,394.0,1085.396,5121.542,634.739,913.4,6069.19,2882.9
4,0.14,1055.511,1543.224,417.807,945.44,6584.88,10948.44,1119.559,1007.782,1201.095,911.575,9561.03,1399.892,574.795,3774.09,21012.293,1485.287,2433.767,5214.915,1290.319,40371.67,2667.495,637.6,7007.0,536.8,1085.544,4731.827,410.773,699.28,8250.02,1441.02,1191.964,8456.244,805.437,1389.4,10243.68,829.84,1242.52,6249.16,465.04,1174.902,5320.609,913.604,1046.263,7161.737,4355.542,858.729,6132.306,944.598,1379.817,4638.987,551.648,1408.354,7564.185,519.885,1487.4,7514.3,1052.1,1033.51,53134.562,11070.623,1032.86,7078.84,2196.5,807.6,5269.15,311.7,1755.44,11622.72,678.96,1128.42,19266.82,7188.66,1223.286,9621.638,528.707,1151.84,6834.82,442.61,1536.92,4973.03,524.82,1871.21,8420.23,620.49,1144.0,19161.0,2267.0,1715.203,8795.743,692.122,1053.14,3397.2,936.16,1248.207,2823.42,596.725,1511.6,8444.76,549.78,1583.99,15208.4,576.59,1797.093,5188.324,3233.741,650.46,1751.92,524.67,1294.489,2334.43,494.864,1506.48,9118.28,492.36,1550.551,25879.482,765.87,1158.04,5237.04,324.84,1232.78,10062.46,409.86,852.826,4260.498,1021.986,1787.14,4495.32,413.69,992.2,2417.8,706.7,1057.292,8677.48,3197.47,1095.972,7942.816,422.136,974.563,10759.11,3235.78,2370.495,414.908,9627.396,1219.91,25953.86,2674.23,1152.0,14388.0,457.0,1136.63,5674.28,698.76,954.95,4102.56,1982.2
5,0.17500000000000002,1023.01,1964.54,620.71,980.67,4436.872,10675.437,1056.6,895.0,1328.36,955.685,8636.38,1449.162,665.17,3636.14,18274.561,1485.675,3038.868,4070.797,1265.58,43110.82,3039.25,653.34,5663.843,545.146,1088.91,5401.01,390.35,644.035,9746.287,1376.283,1219.297,7973.487,870.104,1369.345,9839.706,714.055,1134.12,5756.2,336.12,1203.24,5237.04,1099.88,1033.731,6957.268,5262.11,738.972,6587.235,1279.386,1472.339,4430.533,451.412,1480.366,6857.264,470.601,1451.2,6542.7,1315.0,1012.297,45829.237,7515.887,943.56,7474.52,3525.7,785.2,5739.7,467.0,1674.4,11975.68,606.88,1117.22,17576.38,6107.9,1281.405,9735.549,480.602,1322.336,7670.773,714.809,1543.1,4634.33,772.55,1692.27,9354.432,571.454,1157.0,16278.0,1374.0,1752.97,11702.16,356.37,957.274,2981.503,1176.385,1132.95,2646.96,540.33,1510.38,8221.84,488.88,1576.248,17421.171,547.338,1856.4,6687.78,1982.52,568.36,2811.58,591.32,1261.781,2575.121,755.504,1435.845,8052.195,747.665,1440.2,32390.5,854.3,1025.868,6310.699,248.351,1120.31,8074.04,698.49,805.94,4869.1,957.4,1714.45,5808.56,344.64,936.35,2837.65,687.05,1134.406,9066.739,2929.909,1063.73,6570.65,501.84,947.566,8037.176,4437.026,2571.86,429.34,8804.58,1250.167,27545.831,3064.356,1208.184,11358.588,473.686,1133.11,5546.4,631.49,997.78,2191.66,1277.97
6,0.21000000000000002,971.87,3034.62,937.4,1041.659,2543.909,9548.271,974.44,778.48,1256.2,966.98,8409.84,1594.7,736.878,3470.968,14786.799,1412.734,4649.029,3153.137,1232.983,37755.697,3170.058,662.902,4509.411,558.904,1100.344,6104.678,369.358,609.89,10921.224,1651.689,1253.24,7578.2,896.5,1348.904,9724.303,776.493,1000.12,5345.12,320.28,1191.111,5926.69,1051.897,1005.724,6620.193,5780.583,631.079,6640.561,1702.859,1554.548,4255.18,396.884,1583.245,5857.773,503.346,1249.664,6416.516,1692.285,1031.077,36155.519,4699.171,863.04,8217.2,4850.84,741.259,6575.497,614.629,1606.32,13691.0,718.12,1117.98,15477.14,4927.64,1253.65,11696.4,471.3,1499.781,8855.798,1319.796,1476.837,4320.465,1027.952,1542.999,11368.391,757.21,1183.0,13360.0,1283.0,1774.322,14860.273,474.591,870.11,2622.13,1230.25,1033.44,3005.0,497.6,1484.9,8007.56,573.7,1508.803,21002.66,593.217,1835.22,9475.0,1107.71,496.65,4630.6,764.34,1234.77,2993.704,1079.717,1403.484,7582.89,1059.016,1365.6,35521.0,780.1,929.52,8117.83,449.1,1067.61,7763.83,1229.2,708.605,4971.658,1357.906,1555.69,7106.57,434.81,882.099,3308.193,831.04,1216.505,9025.612,2395.376,1043.186,5719.566,579.539,970.64,6142.24,4872.48,2596.824,682.419,7558.5,1261.811,26710.923,3202.771,1294.8,8514.0,598.64,1117.601,5005.115,609.68,1038.073,1853.469,1226.555
7,0.24500000000000002,920.08,4621.55,1297.79,1089.903,2259.935,6606.858,868.64,762.92,1015.52,931.72,8005.36,1842.54,797.458,3315.291,11588.074,1299.4,6384.04,3161.8,1153.102,35116.009,3932.91,673.8,4295.88,638.96,1117.983,6755.09,445.561,590.817,11675.815,2432.425,1330.774,7529.17,1046.445,1330.0,9903.0,1036.0,894.16,5228.16,547.4,1157.23,7009.3,1038.27,968.986,6423.821,5855.761,571.558,6265.713,2285.273,1629.475,4465.009,458.895,1663.387,5336.078,531.451,1063.019,6416.427,1761.022,1092.435,27377.639,2875.411,814.56,9259.26,5817.62,677.9,6692.06,699.0,1561.92,15240.52,863.72,1128.78,14252.14,3630.0,1152.25,13596.45,811.1,1661.745,10016.668,2294.382,1373.0,4313.0,1390.0,1426.32,15284.85,1123.0,1186.0,11321.0,1475.0,1778.22,18743.48,614.78,773.381,2716.491,1148.257,927.505,2873.848,583.271,1432.08,7506.92,710.12,1395.161,24695.119,693.263,1716.2,14291.63,1052.47,444.13,7038.23,1204.89,1218.135,3620.229,1434.514,1390.555,7144.18,1261.226,1315.475,35507.451,760.756,832.31,9636.66,981.44,1064.21,9357.68,1794.02,644.65,5002.5,2238.55,1337.47,8204.89,710.29,828.518,3483.444,1469.169,1304.221,8458.73,1724.426,998.12,4953.22,652.28,1013.6,5736.48,4346.2,2741.92,923.4,5032.4,1262.5,22730.8,3252.0,1339.82,5987.74,808.08,1143.0,4370.0,784.0,1088.907,3336.912,1527.114
8,0.28,908.427,6759.158,1778.815,1154.43,3040.0,4261.38,779.84,793.24,760.96,875.94,6965.08,2609.66,842.101,3357.939,9019.268,1201.28,6434.16,3840.84,1091.6,30219.4,3750.4,673.24,4196.88,1018.72,1132.874,7304.065,628.525,591.185,12289.64,3322.892,1394.89,7324.78,1310.87,1376.0,9727.0,1333.0,851.68,5334.4,901.92,1068.06,7952.76,1665.97,895.52,6510.92,4869.84,576.589,5436.296,3092.174,1679.867,5421.52,691.93,1739.08,5651.44,585.92,944.916,6441.702,2341.858,1169.235,20242.477,2005.096,838.98,10416.22,6408.5,595.018,6602.787,690.837,1535.92,15510.04,1418.88,1137.82,14812.08,2766.1,1047.193,16447.472,1275.907,1781.3,9459.85,3160.3,1243.0,3941.0,1365.0,1356.49,21335.46,1695.86,1144.0,10651.0,2021.0,1747.022,21115.217,782.637,757.899,3881.707,1564.677,859.4,2486.95,784.3,1359.52,6520.44,946.4,1290.981,26197.475,1119.097,1514.03,19912.71,1246.04,434.53,9034.48,1849.26,1245.699,4165.054,2007.988,1403.758,6753.236,1458.974,1262.199,33903.614,971.526,788.13,10646.19,1647.89,1096.67,12534.32,2259.56,604.572,4932.469,3487.839,1093.954,8937.354,1125.148,771.02,3942.891,2179.272,1379.647,7242.491,1161.153,937.728,4926.791,640.2,1054.2,6640.92,3391.76,2438.2,1266.24,4317.88,1258.599,14463.825,4172.61,1322.6,3978.68,1052.68,1135.0,4184.0,752.0,1234.08,7522.7,1432.08
9,0.31500000000000006,924.32,8834.64,2495.96,1227.218,3956.642,2497.137,729.92,908.4,1122.36,802.008,6490.992,4865.246,860.66,3298.26,7774.02,1141.92,5964.04,4763.24,1002.516,27049.685,4288.384,685.32,4090.84,1693.8,1116.456,7566.236,1079.531,597.0,12965.0,4235.0,1404.71,6769.88,2121.82,1407.0,9389.0,1888.0,874.2,5482.68,1318.76,957.65,9273.74,3086.02,856.88,7604.6,4099.36,632.88,3626.26,3981.52,1665.075,7474.748,1122.403,1783.769,6892.74,822.057,932.289,6734.036,3704.723,1207.359,15735.504,2212.148,914.06,11661.84,7113.9,530.475,6517.177,931.536,1508.16,14270.04,2508.88,1134.08,17437.66,3704.5,951.3,16872.89,2002.61,1889.75,10182.583,4313.131,1091.0,3726.0,1628.0,1322.25,29145.46,2770.6,1059.0,11424.0,3442.0,1746.2,21943.1,1236.85,806.0,6987.2,2474.2,809.691,2260.951,1257.277,1312.519,6126.335,1589.62,1218.231,25522.802,1841.904,1324.951,21616.246,1861.308,491.56,9918.14,2406.43,1325.948,4726.648,2660.973,1417.944,6613.224,1926.665,1274.866,29301.565,1372.491,798.18,10842.3,2539.11,1181.76,18108.12,2558.67,571.232,5187.778,5439.074,893.0,9625.0,1732.0,710.302,4613.82,2768.597,1403.675,6092.17,1305.741,891.028,6022.292,969.865,1111.8,8161.04,2906.8,2129.878,1422.223,4086.566,1297.106,10729.489,3700.233,1243.66,2902.68,1266.36,1169.678,4161.84,1272.139,1432.02,15104.0,1799.46
