,Distance,Peak_1 Channel 1,Peak_1 Channel 2,Peak_1 Channel 3,Peak_2 Channel 1,Peak_2 Channel 2,Peak_2 Channel 3,Peak_3 Channel 1,Peak_3 Channel 2,Peak_3 Channel 3,Peak_4 Channel 1,Peak_4 Channel 2,Peak_4 Channel 3,Peak_5 Channel 1,Peak_5 Channel 2,Peak_5 Channel 3,Peak_6 Channel 1,Peak_6 Channel 2,Peak_6 Channel 3,Peak_7 Channel 1,Peak_7 Channel 2,Peak_7 Channel 3,Peak_8 Channel 1,Peak_8 Channel 2,Peak_8 Channel 3,Peak_9 Channel 1,Peak_9 Channel 2,Peak_9 Channel 3,Peak_10 Channel 1,Peak_10 Channel 2,Peak_10 Channel 3,Peak_11 Channel 1,Peak_11 Channel 2,Peak_11 Channel 3,Peak_12 Channel 1,Peak_12 Channel 2,Peak_12 Channel 3,Peak_13 Channel 1,Peak_13 Channel 2,Peak_13 Channel 3,Peak_14 Channel 1,Peak_14 Channel 2,Peak_14 Channel 3,Peak_15 Channel 1,Peak_15 Channel 2,Peak_15 Channel 3,Peak_16 Channel 1,Peak_16 Channel 2,Peak_16 Channel 3,Peak_17 Channel 1,Peak_17 Channel 2,Peak_17 Channel 3,Peak_18 Channel 1,Peak_18 Channel 2,Peak_18 Channel 3,Peak_19 Channel 1,Peak_19 Channel 2,Peak_19 Channel 3,Peak_20 Channel 1,Peak_20 Channel 2,Peak_20 Channel 3,Peak_21 Channel 1,Peak_21 Channel 2,Peak_21 Channel 3,Peak_22 Channel 1,Peak_22 Channel 2,Peak_22 Channel 3,Peak_23 Channel 1,Peak_23 Channel 2,Peak_23 Channel 3,Peak_24 Channel 1,Peak_24 Channel 2,Peak_24 Channel 3,Peak_25 Channel 1,Peak_25 Channel 2,Peak_25 Channel 3,Peak_26 Channel 1,Peak_26 Channel 2,Peak_26 Channel 3,Peak_27 Channel 1,Peak_27 Channel 2,Peak_27 Channel 3,Peak_28 Channel 1,Peak_28 Channel 2,Peak_28 Channel 3,Peak_29 Channel 1,Peak_29 Channel 2,Peak_29 Channel 3,Peak_30 Channel 1,Peak_30 Channel 2,Peak_30 Channel 3,Peak_31 Channel 1,Peak_31 Channel 2,Peak_31 Channel 3,Peak_32 Channel 1,Peak_32 Channel 2,Peak_32 Channel 3,Peak_33 Channel 1,Peak_33 Channel 2,Peak_33 Channel 3,Peak_34 Channel 1,Peak_34 Channel 2,Peak_34 Channel 3,Peak_35 Channel 1,Peak_35 Channel 2,Peak_35 Channel 3,Peak_36 Channel 1,Peak_36 Channel 2,Peak_36 Channel 3,Peak_37 Channel 1,Peak_37 Channel 2,Peak_37 Channel 3,Peak_38 Channel 1,Peak_38 Channel 2,Peak_38 Channel 3,Peak_39 Channel 1,Peak_39 Channel 2,Peak_39 Channel 3,Peak_40 Channel 1,Peak_40 Channel 2,Peak_40 Channel 3,Peak_41 Channel 1,Peak_41 Channel 2,Peak_41 Channel 3,Peak_42 Channel 1,Peak_42 Channel 2,Peak_42 Channel 3,Peak_43 Channel 1,Peak_43 Channel 2,Peak_43 Channel 3,Peak_44 Channel 1,Peak_44 Channel 2,Peak_44 Channel 3,Peak_45 Channel 1,Peak_45 Channel 2,Peak_45 Channel 3,Peak_46 Channel 1,Peak_46 Channel 2,Peak_46 Channel 3,Peak_47 Channel 1,Peak_47 Channel 2,Peak_47 Channel 3,Peak_48 Channel 1,Peak_48 Channel 2,Peak_48 Channel 3,Peak_49 Channel 1,Peak_49 Channel 2,Peak_49 Channel 3,Peak_50 Channel 1,Peak_50 Channel 2,Peak_50 Channel 3,Peak_51 Channel 1,Peak_51 Channel 2,Peak_51 Channel 3,Peak_52 Channel 1,Peak_52 Channel 2,Peak_52 Channel 3,Peak_53 Channel 1,Peak_53 Channel 2,Peak_53 Channel 3,Peak_54 Channel 1,Peak_54 Channel 2,Peak_54 Channel 3,Peak_55 Channel 1,Peak_55 Channel 2,Peak_55 Channel 3
0,0.0,1570.04,4093.11,1032.52,1421.2,2544.24,3541.8,1449.25,4593.18,7728.14,653.5,5564.3,2301.1,1642.0,1689.0,863.0,930.67,4040.38,849.94,1038.698,15008.098,493.454,1249.102,4391.278,509.163,1373.4,17555.2,6973.2,1371.0,3571.0,579.0,1737.957,8702.782,1184.459,957.25,4340.9,384.82,1255.394,7466.359,4275.908,1757.7,30052.82,1831.94,1117.639,4870.649,289.7,1577.561,5896.898,2095.654,2119.653,11264.041,4018.719,1995.907,11889.926,8489.831,1122.301,6463.094,659.637,1257.54,2407.02,374.01,2308.6,4517.56,401.52,1353.53,17731.01,4724.98,2045.99,38767.47,782.05,2076.969,23695.264,4269.901,1912.9,9772.05,462.5,1496.13,5607.34,331.78,1032.1,9009.35,468.35,1902.4,8098.1,3605.7,1897.94,6036.34,6475.4,908.54,10310.18,646.98,1268.325,13926.077,958.603,1519.75,4490.2,411.8,1466.353,6035.113,5729.369,1054.34,3553.6,293.4,1248.16,4098.84,2862.54,2007.0,6294.0,5790.0,1349.16,4908.16,340.2,1087.654,6314.191,371.265,1405.76,8534.64,421.24,1560.44,3594.68,939.88,849.0,16743.0,1514.0,1092.32,11065.38,2452.35,1555.72,4726.82,1327.96,1653.9,17635.6,3028.4,497.9,1397.932,586.298,1277.75,22822.93,9346.11,1318.971,5253.137,938.448,1007.72,18765.52,333.2,1635.32,7904.68,9112.36,1057.8,8041.88,10902.88,1353.81,4426.34,1059.6,725.6,3521.6,422.4,2404.16,13588.24,439.55,414.22,2682.9,2691.156,1241.603,8972.763,837.905
1,0.035,1329.915,4004.315,996.343,1316.64,2513.08,2448.76,1568.76,5498.93,9621.5,655.0,7774.1,2397.3,1435.0,1527.0,900.0,932.844,4855.088,1761.364,909.16,14922.8,510.72,1341.63,4644.84,532.93,1454.679,19632.279,7863.159,1325.0,3786.0,516.0,1605.023,9227.148,1895.855,973.34,5231.71,476.85,1175.39,7724.96,3363.64,1575.64,37203.94,2369.48,1102.526,5483.826,306.08,1673.663,8875.944,1283.989,2239.66,10439.911,5593.359,1805.951,13922.151,8841.954,1109.76,8742.48,611.12,1333.858,2902.28,375.455,2369.329,5154.403,426.518,1372.81,12323.58,3486.4,2047.49,34385.56,822.57,2211.778,23620.055,3911.95,1899.25,12325.95,498.6,1559.23,5329.49,334.56,947.55,8671.25,462.15,1818.7,7965.9,3985.9,2147.62,6480.08,7042.16,937.44,11358.6,697.34,1199.52,13822.04,960.64,1489.985,5743.542,358.69,1379.058,7056.773,6293.751,1069.68,3538.98,277.72,1351.454,4290.99,3240.694,1946.0,5436.0,4500.0,1365.88,5503.44,333.96,1169.69,5998.14,277.34,1506.52,8858.76,491.96,1599.64,4299.12,1021.52,811.0,14749.0,1950.0,1003.22,13865.29,1854.07,1588.064,4029.509,972.654,1733.9,21107.6,4652.3,541.0,1152.0,650.0,1113.28,21629.84,6932.48,1387.18,5756.76,2155.64,1059.28,17054.8,322.36,1765.72,7866.32,10590.76,982.76,3280.4,7122.64,1283.4,5250.97,1227.05,860.4,3067.4,394.8,2236.03,14739.7,484.78,459.323,2878.975,1249.927,1141.155,8310.391,918.332
2,0.07,1132.2,4184.8,885.0,1189.32,2177.8,1492.36,1676.83,6081.27,10665.16,653.75,8895.72,2486.219,1192.527,1761.201,1037.555,912.4,5454.36,3443.08,848.92,13153.92,580.04,1398.74,5420.54,586.99,1587.86,19222.088,6867.845,1278.0,3984.0,531.0,1391.2,8756.75,3021.7,975.19,6091.12,482.47,1099.32,7786.29,2311.2,1392.18,39965.26,3154.72,1120.38,6034.28,292.71,1735.39,9870.39,1098.8,2336.012,10913.411,7223.549,1618.802,15611.381,8858.835,1116.626,10511.884,579.131,1358.52,3339.8,440.44,2496.532,6098.718,508.065,1429.93,8400.03,2403.43,2000.6,27482.71,885.48,2259.2,16616.08,2539.0,1827.2,13812.3,605.85,1591.339,4759.303,302.662,911.6,7624.5,529.2,1628.006,9880.476,4675.591,2374.974,8211.267,7779.261,964.84,12062.36,721.26,1123.761,13630.716,1223.789,1535.88,7349.24,290.54,1361.4,9146.2,5442.0,1095.32,4171.66,288.92,1504.83,4520.74,3366.51,1860.0,4729.0,3128.0,1356.88,5974.12,429.6,1228.38,5276.44,291.38,1621.08,8742.04,485.92,1618.64,5509.88,938.8,815.0,12225.0,2305.0,905.44,16959.63,1407.35,1562.8,3814.15,728.15,1852.55,25372.8,6565.0,631.0,1524.0,734.0,997.65,19577.42,4317.52,1423.22,6785.46,4009.28,1112.28,14297.0,342.48,1817.04,8135.52,10474.0,936.16,1172.32,3841.84,1158.85,6111.0,1749.75,991.8,2945.4,421.0,2021.75,14970.66,532.96,577.747,3405.288,797.417,1033.902,7370.62,985.83
3,0.10500000000000001,995.6,4146.0,879.0,1090.116,2035.231,1083.965,1763.97,7320.35,10727.02,659.32,9640.58,2684.88,942.26,1984.52,1156.1,1064.04,5319.56,4075.16,772.269,10097.434,581.94,1396.342,7118.791,850.904,1663.68,21245.56,6925.8,1184.0,4047.0,470.0,1171.55,7643.0,4981.5,1015.916,5605.271,492.853,1041.92,7803.95,1488.35,1269.96,37459.12,3782.06,1139.298,6400.277,361.618,1665.647,11480.892,886.216,2384.974,11841.594,8862.759,1492.705,16769.186,8681.507,1193.12,11775.26,620.05,1389.28,3460.04,546.64,2503.62,6640.189,505.339,1512.88,8356.02,1532.75,1912.78,19805.76,987.24,2258.6,12896.053,1881.503,1668.952,14495.183,894.134,1593.04,4047.32,227.08,932.65,6277.95,680.1,1519.317,10261.465,4160.387,2562.0,10712.5,8611.5,978.28,11621.66,709.16,1081.375,13393.207,1603.235,1580.48,9157.92,268.8,1326.0,11039.6,3983.2,1116.8,5504.64,336.34,1589.418,4708.307,2859.32,1733.099,4442.855,2315.01,1339.44,6543.68,566.8,1259.01,4278.33,360.7,1667.722,8816.015,419.564,1607.44,7367.84,973.8,934.738,9345.525,3059.541,811.86,19568.88,1101.7,1577.6,4035.8,632.05,1983.1,30245.2,8180.3,739.0,2014.0,836.0,966.58,17574.6,2342.83,1408.54,7842.88,5899.8,1153.12,11355.44,359.4,1789.04,9182.16,8873.6,974.543,706.984,2176.434,1004.24,6891.63,2584.29,1106.283,3713.96,415.198,1805.0,14173.02,535.39,714.907,4196.1,708.533,965.049,6533.941,1039.897
4,0.14,874.4,4300.6,968.2,1011.08,2258.3,850.68,1812.91,9337.13,9820.37,655.74,10193.96,3275.32,716.619,2600.965,1206.18,1172.0,4865.84,4161.2,715.08,7178.64,586.92,1400.4,9455.8,1535.6,1693.88,23774.44,6442.2,1097.97,4822.709,455.902,996.9,7428.6,7270.0,1073.49,5404.43,527.68,1024.05,7931.48,1019.08,1251.86,30962.46,3802.48,1168.6,7030.8,480.4,1585.0,11727.25,711.3,2444.309,11734.302,9185.842,1477.666,17739.151,8234.473,1282.132,12294.613,676.406,1477.12,3417.96,685.44,2450.728,6816.791,466.374,1557.84,8687.29,1012.72,1813.096,13170.446,1111.609,2192.025,11294.026,1211.087,1486.0,14194.08,1309.32,1629.28,3563.04,259.32,989.9,5374.8,791.05,1558.55,10042.58,3059.59,2624.006,12513.048,8011.237,979.02,9753.28,621.14,1055.0,12385.0,1989.0,1653.86,10793.56,308.92,1246.227,11790.694,3090.226,1121.164,7680.244,410.795,1661.088,5457.93,2593.312,1618.64,4485.88,2620.0,1332.48,7427.2,701.28,1265.41,3323.6,469.25,1723.6,9351.22,509.54,1559.68,9781.92,1149.28,1062.64,7549.8,3605.88,741.82,20996.7,873.9,1568.45,5426.2,561.25,2103.5,34586.75,8889.1,843.0,3240.0,981.0,1019.78,16257.8,1732.01,1355.76,8420.16,7230.18,1170.36,9170.0,340.96,1717.2,11695.32,6312.68,1029.396,841.39,1086.878,874.518,7266.18,3638.201,1194.55,4701.08,408.33,1619.19,12612.91,514.1,859.637,5130.998,658.629,937.095,5702.845,1307.784
5,0.17500000000000002,783.2,4564.2,1363.2,961.04,2542.59,751.53,1802.43,11115.72,8063.4,654.84,9818.64,4018.78,566.78,3295.69,1249.27,1216.72,4295.96,3754.6,677.04,4946.76,803.52,1384.8,11338.0,2482.4,1687.32,25963.96,5277.28,1020.9,7351.678,553.279,878.0,8578.4,9320.9,1117.62,5531.91,493.58,1055.55,8526.9,768.52,1335.56,23169.22,3166.66,1155.718,7822.423,641.314,1465.35,11315.4,711.3,2460.614,11499.432,8555.489,1454.24,12898.94,9428.85,1379.8,12609.2,747.6,1546.83,3687.075,730.93,2351.38,6791.581,500.071,1559.63,9843.48,742.96,1765.598,9737.276,1061.936,2134.35,13319.76,919.79,1295.031,12801.822,1978.614,1642.88,4068.44,365.56,1044.2,5546.45,877.15,1628.052,12438.891,2264.276,2632.1,13404.76,6385.12,979.32,7011.32,576.7,998.224,10754.215,2094.146,1694.772,11894.564,358.274,1218.52,11914.36,2185.56,1117.402,10338.964,510.52,1596.061,6304.648,2106.057,1521.32,4816.9,3929.86,1355.0,8572.72,857.36,1234.373,2877.205,648.647,1670.116,10140.342,688.449,1499.754,11185.476,1308.464,1174.56,6945.08,3815.96,711.63,20792.24,667.97,1538.6,7874.15,647.25,2185.296,36997.538,8432.926,931.0,6288.0,1152.0,1147.91,15726.62,1885.55,1283.18,8054.98,7665.62,1157.8,8325.8,374.28,1638.72,16193.0,3734.28,1073.79,1355.78,674.17,850.134,5769.278,3345.686,1215.391,5351.145,499.618,1474.4,10724.4,486.74,1009.048,6677.593,649.332,939.275,5353.906,2511.263
6,0.21000000000000002,722.8,4840.2,2161.6,954.93,2895.75,783.7,1719.68,12110.79,5833.82,658.52,8971.16,4841.64,495.69,4597.73,1343.44,1196.88,3864.28,3102.56,621.12,3696.2,1163.48,1358.0,12864.8,3938.8,1697.509,23637.509,3600.707,960.1,11520.95,797.05,796.2,10512.9,10703.65,1189.64,5284.93,375.87,1129.61,9091.8,885.92,1485.048,17664.992,3112.45,1126.737,9104.957,944.58,1295.75,10776.0,901.5,2421.19,11993.68,7585.04,1559.426,15443.118,8207.818,1429.028,12321.617,790.576,1571.65,3995.14,705.11,2185.251,6860.601,624.781,1519.951,12749.526,712.84,1615.22,7194.21,995.21,2098.59,15559.03,1249.96,1103.98,11907.46,3133.84,1626.4,4454.36,494.28,1061.65,6906.3,1000.65,1593.8,14332.5,2040.5,2512.215,14421.394,4736.357,992.54,6255.18,678.62,938.7,10605.52,2111.72,1656.41,11670.99,512.062,1208.6,10994.08,1380.0,1074.28,13570.92,559.1,1483.367,7007.498,1592.088,1418.04,5268.86,5489.14,1434.28,9595.2,1189.24,1207.25,2502.75,812.25,1529.885,11159.58,885.525,1435.84,11459.12,1465.04,1275.38,7207.78,3986.32,751.89,19081.42,510.26,1531.75,10767.8,755.6,2166.622,33895.429,6979.282,995.0,10659.0,1286.0,1319.25,15701.62,2005.59,1222.68,6653.92,7242.64,1130.2,8738.24,443.24,1572.12,22662.08,2147.84,1050.147,2155.028,596.271,825.256,4543.155,2821.548,1209.0,6006.0,745.0,1358.36,8882.61,519.19,1169.735,9032.349,660.919,973.74,5589.74,4407.76
7,0.24500000000000002,689.377,5079.846,3586.267,997.82,3394.58,864.68,1571.69,12338.04,3938.68,666.62,8306.88,5458.94,479.17,5957.31,1488.58,1132.0,4091.72,2503.04,566.8,3653.32,1702.4,1327.8,14006.8,5367.6,1723.9,23478.22,2548.18,927.583,16283.174,1233.546,722.755,12522.472,11264.116,1294.6,4734.49,337.02,1223.35,9338.39,1055.96,1640.41,14350.11,2698.29,1058.887,11006.131,1389.586,1123.965,10647.676,1302.762,2319.18,12150.76,7792.11,1679.232,17932.15,6763.819,1424.958,12108.652,872.865,1592.97,4300.39,729.2,2015.641,7400.958,780.221,1439.38,13396.713,756.422,1449.94,5852.6,1035.41,2061.3,16814.26,1518.19,1038.72,10291.74,3729.12,1579.0,4557.001,588.845,1031.45,8967.3,1175.45,1649.268,13007.732,2432.471,2364.058,13464.938,2741.206,1030.68,6817.6,1004.58,866.54,11416.28,2190.34,1587.11,10987.1,708.79,1171.44,9536.24,866.72,986.16,15832.06,676.66,1352.2,7413.53,1256.4,1306.1,5744.48,6738.8,1521.96,9978.68,2090.08,1245.114,1784.368,802.736,1360.802,11589.149,1325.374,1327.139,12841.917,1668.36,1391.904,8873.182,4923.887,848.91,16626.52,502.99,1547.2,13449.1,931.0,2216.61,32518.38,5338.21,1029.027,13726.302,1507.206,1485.67,15670.86,2129.88,1174.64,4669.08,6266.8,1090.32,9710.84,533.2,1515.96,30425.0,1822.04,976.195,3921.987,447.189,812.723,3585.682,2282.325,1155.0,5813.0,1084.0,1246.4,7339.2,708.39,1338.837,12024.96,663.994,977.391,6786.249,6565.134
8,0.28,703.625,5393.671,5083.98,1083.0,3917.07,1628.56,1384.83,12274.59,3295.36,679.3,8353.08,5752.08,495.04,6871.81,1756.99,1059.24,4436.48,2137.72,546.4,4144.2,2516.12,1302.2,14941.8,6332.0,1727.16,25195.12,2200.94,904.785,22507.565,1634.66,671.14,14252.82,11684.8,1419.37,4038.34,534.26,1313.7,9088.95,1384.2,1722.75,13058.21,2032.6,998.49,13920.55,2026.38,926.68,10329.68,1931.48,2169.95,11957.04,8029.85,1777.14,20682.06,5142.16,1413.8,10646.24,1443.04,1571.75,4827.68,824.35,1865.65,8289.584,991.135,1409.98,16956.64,1219.91,1317.577,5478.464,1066.469,2029.59,16785.04,1759.28,994.396,8633.456,4122.318,1530.555,5294.644,719.075,971.45,11006.65,1664.2,1540.464,11702.14,3358.096,2278.5,15582.4,2062.9,1070.179,6595.381,1779.33,776.96,12318.34,2693.76,1477.269,9276.942,1211.175,1112.72,8248.88,878.68,880.12,16192.64,1028.68,1222.726,6989.026,1343.927,1204.3,6311.58,7320.5,1597.08,9430.92,3467.8,1291.647,1490.972,746.749,1361.52,11848.64,2230.76,1235.086,14939.657,2698.945,1465.36,11329.16,5845.47,925.672,14445.5,866.487,1571.75,15432.3,1195.15,2127.878,27092.458,3619.221,1047.262,18186.608,1942.319,1544.666,14799.166,2817.28,1135.9,2765.64,5221.38,1048.08,10387.56,711.04,1461.2,38269.12,2760.92,903.6,5595.4,398.4,822.436,2830.215,1942.885,1092.875,6036.233,1414.449,1106.257,6301.37,1081.876,1340.446,13240.343,797.198,976.784,8141.21,8868.335
9,0.31500000000000006,689.28,4728.8,8034.92,1197.03,4194.23,3255.22,1193.93,12532.14,3487.91,692.621,9506.701,6808.023,546.25,7269.07,2148.69,1016.48,4610.6,2118.04,565.76,4507.68,3845.28,1298.2,15413.2,6701.6,1726.84,26621.78,2644.94,946.68,27742.0,2216.89,628.154,14493.533,11529.37,1536.71,3568.09,1210.69,1378.453,9201.316,2131.471,1712.26,12704.78,2002.08,953.73,16079.52,3178.35,729.02,8862.0,3478.28,1995.907,11889.926,8489.831,1791.854,24961.747,4301.818,1347.491,9325.936,2420.467,1536.02,5685.93,1166.94,1724.437,9133.34,1477.82,1384.34,19938.81,2023.03,1218.2,5585.0,1955.2,1997.988,16767.812,2261.798,895.489,8186.598,5722.618,1491.4,4626.76,1108.2,910.3,12611.6,2743.8,1489.16,9110.16,4452.22,2198.1,18061.6,1996.7,1140.27,6342.56,3531.68,680.32,13091.94,3697.22,1421.54,7596.04,2108.36,1054.44,7524.12,1388.48,782.44,14740.14,1893.98,1130.504,7070.629,1553.384,1152.86,7092.88,7279.86,1676.6,8103.12,5968.4,1317.32,2330.76,1226.67,1374.68,11496.0,3415.6,1190.88,15381.0,3973.48,1494.82,15342.26,5923.61,951.642,12938.967,1856.532,1607.25,16658.4,1935.3,2048.76,22104.96,2612.04,1043.94,21515.3,3239.12,1463.56,13196.24,4378.88,1108.16,2127.94,4690.24,1047.88,10299.84,1037.4,1394.734,43614.839,4531.313,863.551,6582.221,659.012,927.45,2361.6,2106.55,1050.377,6439.857,2017.5,972.0,5967.0,1501.0,1332.12,14131.67,1360.32,948.965,9989.122,10323.93
