,Distance,Peak_1 Channel 1,Peak_1 Channel 2,Peak_1 Channel 3,Peak_2 Channel 1,Peak_2 Channel 2,Peak_2 Channel 3,Peak_3 Channel 1,Peak_3 Channel 2,Peak_3 Channel 3,Peak_4 Channel 1,Peak_4 Channel 2,Peak_4 Channel 3,Peak_5 Channel 1,Peak_5 Channel 2,Peak_5 Channel 3,Peak_6 Channel 1,Peak_6 Channel 2,Peak_6 Channel 3,Peak_7 Channel 1,Peak_7 Channel 2,Peak_7 Channel 3,Peak_8 Channel 1,Peak_8 Channel 2,Peak_8 Channel 3,Peak_9 Channel 1,Peak_9 Channel 2,Peak_9 Channel 3,Peak_10 Channel 1,Peak_10 Channel 2,Peak_10 Channel 3,Peak_11 Channel 1,Peak_11 Channel 2,Peak_11 Channel 3,Peak_12 Channel 1,Peak_12 Channel 2,Peak_12 Channel 3,Peak_13 Channel 1,Peak_13 Channel 2,Peak_13 Channel 3,Peak_14 Channel 1,Peak_14 Channel 2,Peak_14 Channel 3,Peak_15 Channel 1,Peak_15 Channel 2,Peak_15 Channel 3,Peak_16 Channel 1,Peak_16 Channel 2,Peak_16 Channel 3,Peak_17 Channel 1,Peak_17 Channel 2,Peak_17 Channel 3,Peak_18 Channel 1,Peak_18 Channel 2,Peak_18 Channel 3,Peak_19 Channel 1,Peak_19 Channel 2,Peak_19 Channel 3
0,0.0,964.208,4142.159,3704.372,1001.04,4691.0,1474.84,1022.11,999.67,570.4,1647.0,1515.0,502.0,1806.4,8083.2,433.0,1534.94,1218.15,729.28,730.582,1435.119,1723.047,1292.084,2999.696,5317.259,1200.258,3724.993,486.177,1949.34,3954.92,941.693,1285.31,3895.553,271.075,706.95,1951.36,970.004,1379.92,1377.8,409.96,953.414,2106.919,328.638,669.329,1885.2,303.295,799.83,4210.03,259.91,617.655,1742.541,193.342,615.85,3470.689,1360.685,556.787,3397.879,6431.855
1,0.035,662.698,3682.248,2426.288,962.88,6221.24,1414.12,988.197,1473.691,498.754,1576.262,1009.204,387.901,1801.361,9957.889,405.631,1477.13,806.09,535.51,683.401,1728.479,1449.469,1451.377,2688.3,4719.312,1297.61,4255.263,547.899,1885.9,4058.91,779.51,1378.612,4206.112,301.278,724.627,1653.143,1043.572,1300.4,1615.92,372.36,949.11,2351.43,264.51,672.06,1565.04,320.99,758.857,4389.976,310.547,602.205,1541.48,162.296,633.813,3715.16,1841.148,573.211,5197.972,7993.808
2,0.07,333.532,2900.234,1385.225,899.64,8161.64,1791.36,965.713,1724.054,538.676,1551.235,868.29,398.645,1783.12,11595.48,360.88,1427.43,818.99,502.47,682.721,1825.156,1058.254,1546.575,2662.345,3603.497,1368.8,3943.0,557.0,1731.661,6555.693,648.716,1403.716,3944.445,282.16,689.142,1466.836,1030.285,1177.92,2434.36,343.36,959.697,2096.887,315.324,664.76,1282.979,378.125,737.294,4528.808,363.319,614.08,1486.44,223.36,645.46,3580.275,2238.097,627.74,6100.82,7227.6
3,0.10500000000000001,303.474,2291.461,891.58,804.8,9503.96,2356.32,970.845,1932.285,839.952,1584.68,922.72,493.29,1733.4,12424.32,383.36,1408.473,976.282,559.571,771.683,1785.791,844.428,1524.061,2920.883,2350.19,1394.4,3364.4,543.2,1666.745,10551.205,607.828,1388.584,3240.05,278.082,634.312,1402.213,984.699,1022.977,2776.782,360.779,937.961,2084.553,338.161,675.962,1311.632,445.795,738.889,3765.685,476.421,644.16,1323.24,268.96,618.546,2973.293,2486.959,703.08,5868.24,5623.94
4,0.14,482.118,2543.708,1031.47,689.52,9736.52,3216.72,988.02,2059.76,1021.26,1660.571,1047.179,621.257,1681.0,11754.12,635.52,1423.06,1320.06,547.38,865.88,1880.64,979.34,1465.78,2948.72,1311.5,1418.224,3676.424,926.952,1570.735,13844.967,614.448,1355.756,2357.715,319.137,576.534,1412.464,1039.917,927.263,2024.402,390.268,938.02,1893.41,431.11,689.963,1495.481,553.087,773.267,2809.043,596.805,691.12,1346.88,303.04,574.273,2463.705,2777.986,755.482,4467.809,3748.05
5,0.17500000000000002,623.99,1891.663,1027.315,585.84,8808.16,3793.88,978.109,1915.236,1038.583,1628.453,1053.575,733.355,1638.28,10727.2,1040.12,1421.8,1812.64,562.1,1044.574,2142.174,919.967,1421.0,2397.54,739.38,1464.098,3959.51,1712.047,1458.0,16630.44,537.6,1276.695,2125.703,347.781,521.38,1414.351,1070.477,896.102,1192.335,432.243,946.03,1636.51,529.27,703.924,1877.824,686.215,832.949,2090.97,680.52,740.12,1495.56,357.16,518.94,2188.381,3279.459,806.09,4193.36,2358.29
6,0.21000000000000002,787.561,1624.646,1242.18,525.88,7125.64,3730.76,955.001,2130.548,934.551,1523.688,1436.167,722.539,1613.2,10199.48,1493.48,1389.204,2805.777,764.966,1184.97,2419.72,832.3,1334.157,1816.937,571.087,1528.689,3836.734,2603.169,1361.8,17001.48,508.84,1170.81,1809.664,360.747,499.534,1429.106,1095.105,891.809,680.397,468.187,918.773,1606.438,542.645,720.92,2699.08,880.95,914.653,1852.326,731.526,789.258,1532.642,456.066,466.871,2348.774,4114.479,811.332,4024.597,1269.385
7,0.24500000000000002,900.45,1807.588,1502.959,505.257,5387.893,3580.873,953.733,3169.657,768.919,1388.558,1526.091,828.099,1611.2,9300.84,2007.52,1357.2,4108.2,1054.95,1218.6,2542.49,729.58,1263.023,1421.195,653.478,1600.451,3188.632,3332.662,1314.24,14935.36,678.64,1083.14,1453.58,364.61,519.73,1509.4,1168.08,897.997,689.554,527.203,907.2,1621.0,526.8,732.521,3708.658,1296.127,1010.5,2254.95,936.05,808.376,1581.368,586.693,456.0,2627.22,5499.82,809.3,4112.1,765.7
8,0.28,994.4,1890.28,2023.62,495.193,5265.253,3834.664,996.14,4076.06,1242.28,1251.24,1445.28,1100.8,1631.6,7642.28,2603.76,1270.455,5588.613,1322.122,1232.24,2447.76,773.52,1171.243,1112.707,1205.636,1666.017,2606.834,3590.938,1324.44,11205.48,925.72,1016.695,1283.148,433.479,555.57,1857.03,1326.75,900.862,805.463,632.009,930.8,1634.8,696.8,760.106,4608.651,2182.018,1103.9,3132.1,1320.75,785.72,1510.05,793.0,466.754,2462.476,6416.885,782.605,5399.047,1021.779
9,0.31500000000000006,1011.409,1696.037,3241.995,503.11,6071.42,4386.467,1049.92,4453.66,1904.68,1196.027,1628.514,1523.056,1666.28,5643.88,3348.88,1201.26,7995.8,1691.98,1330.996,2473.027,1176.25,1103.86,725.56,2135.62,1754.98,2310.92,3580.24,1396.8,7061.4,1324.32,974.0,1713.0,788.0,588.743,2667.045,1711.369,914.761,1131.784,998.582,941.0,1836.8,1465.8,779.246,5293.171,4059.719,1277.42,4480.819,2175.98,725.837,1507.224,1190.249,503.33,2283.1,7024.23,764.213,7105.333,1241.597
