,Channel_1,Channel_2,Channel_3
0,1611.6748195000007,5632.660175500003,3992.729935499996
1,1611.2287675000005,5692.0073265000065,3977.5445094999977
2,1610.1544884999994,5740.011972500001,3971.2649125000034
3,1605.609562,5738.843801500007,3966.3081950000064
4,1605.5827719999988,5701.825858000001,3963.8691624999988
5,1606.2182294999973,5666.462648499999,3976.4938005000035
6,1605.8093389999976,5612.132306999999,3968.545392999997
7,1601.563530500003,5559.030025500018,3948.230922500001
8,1604.632038500001,5492.331001000011,3905.3370545
9,1602.9413390000007,5429.675609999997,3882.9211455000022
10,1601.1560509999993,5409.272103999996,3880.1040605000003
11,1600.5166200000026,5397.886853000006,3893.6136919999926
12,1601.1229324999968,5376.644840499999,3903.6036519999993
13,1600.6604710000001,5345.925201,3899.6590129999963
14,1605.438247999998,5370.802666500009,3891.547587999996
15,1608.5066314999995,5429.610523499993,3902.198273000003
16,1609.0551394999961,5480.925609499988,3906.4901975000016
17,1611.5523560000004,5508.493639000003,3913.065332999992
18,1612.9135729999982,5482.6119459999945,3915.803114000002
19,1611.1157675000034,5492.261373499999,3933.0920719999967
20,1607.3837250000001,5457.227348500003,3932.684483500003
21,1606.6865455000002,5434.864145000002,3919.244061500002
22,1608.7191640000005,5399.216529500013,3933.3675784999987
23,1610.9135489999987,5394.300540500002,3938.1391909999998
24,1615.097176499998,5358.753938999994,3930.483849499996
25,1620.8626649999962,5419.8368704999975,3927.814736999993
26,1627.9990965000009,5438.361525999997,3923.2338504999952
27,1633.0942945000002,5383.0346075000025,3923.710069999994
28,1642.1416650000026,5347.4914759999965,3934.5245154999993
