,image name,DRP1K38A total mito area,DRP1K38A total mito intensity c1,DRP1K38A avg mito intensity c1,DRP1K38A total mito intensity c2,DRP1K38A avg mito intensity c2,DRP1K38A total mito intensity c3,DRP1K38A avg mito intensity c3,DRP1K38A RNR2 objects,DRP1K38A total RNR2 area,DRP1K38A avg RNR2 area,DRP1K38A RNR2 object avg intensity c1,DRP1K38A RNR2 object avg intensity c3,DRP1K38A HPG objects,DRP1K38A total HPG area,DRP1K38A avg HPG area,DRP1K38A HPG object avg intensity c1,DRP1K38A HPG object avg intensity c3,DRP1K38A RNA and HPG overlap,DRP1K38A percent of RNR2 overlap,DRP1K38A percent of HPG overlap,control total mito area,Control total mito intensity c1,Control avg mito intensity c1,Control total mito intensity c2,Control avg mito intensity c2,Control total mito intensity c3,Control avg mito intensity c3,Control RNR2 objects,Control total RNR2 area,Control avg RNR2 area,Control RNR2 object avg intensity c1,Control RNR2 object avg intensity c3,Control HPG objects,Control total HPG area,Control avg HPG area,Control HPG object avg intensity c1,Control HPG object avg intensity c3,Control RNA and HPG overlap,Control percent of RNR2 overlap,Control percent of HPG overlap
0,RNR2-647_DRP1K38A-mCherry_HPG-488_TOM20-01,118.79628078520419,261452572,2200848.1264891867,66329186,558343.9612889056,97826018,823477.1101704728,62,6.693502691478529,0.10795972083029885,7188.855902246562,2025.9980954700243,77,5.110756521829648,0.06637346132246297,6274.715928230717,2470.9258598047727,43,0.6935483870967742,0.5584415584415584,134.57017452798524,215798740,1603614.9225259603,36941903,274517.7609345937,98231296,729963.3543952326,22,1.2407833018262846,0.05639924099210385,6912.431665373241,2017.1947239751344,42,1.7951493352727677,0.042741650839827804,5052.698659629185,2421.515486732588,15,0.6818181818181818,0.35714285714285715
1,RNR2-647_DRP1K38A-mCherry_HPG-488_TOM20-06,188.30080465835005,221682593,1177279.0530673373,272637507,1447882.8568718499,168836605,896632.4137931032,13,2.0510244136994107,0.1577711087461085,7300.112129435534,2574.7854513079365,53,4.968996017818884,0.09375464184563932,3433.346090994464,2520.861475819674,8,0.6153846153846154,0.1509433962264151,69.14310420561644,114830879,1660771.2413159544,34623126,500745.900806513,48095714,695596.6839003046,10,0.7430975917886272,0.07430975917886272,7142.254133747748,2289.0031491142095,18,1.0596021216245248,0.05886678453469582,5465.707564591802,2480.2031183576078,8,0.8,0.4444444444444444
2,RNR2-647_DRP1K38A-mCherry_HPG-488_TOM20-07,248.14643192400519,309489535,1247205.2594122374,163576912,659195.099972646,249531694,1005582.4380195765,8,0.5266735456953069,0.06583419321191336,7027.138666896771,2648.8358319988906,172,10.71486679068955,0.0622957371551718,3089.966335084579,2479.686996835765,6,0.75,0.03488372093023256,83.83867223717053,125803851,1500546.7959238968,25826896,308054.6877810577,59737433,712528.3762964336,5,0.28585488168973316,0.057170976337946634,7072.907225503659,2333.860725209418,22,1.0008048374257614,0.045491128973898246,4349.039087131422,2436.5839343849966,4,0.8,0.18181818181818182
3,RNR2-647_DRP1K38A-mCherry_HPG-488_TOM20-08,150.21450856834176,195998826,1304792.911603663,130156663,866471.9822372136,118142968,786495.0538133242,5,0.24105579207167271,0.04821115841433454,6950.306410256409,2434.1824786324787,32,1.7017168577256065,0.053178651803925205,4117.907927903456,2439.5839500010566,3,0.6,0.09375,164.46420716081138,218833688,1330585.491991134,45563661,277043.02222700854,108091337,657233.1990407459,12,0.5506287343445964,0.0458857278620497,6935.631543244574,2209.0850400882805,27,1.3099233352111836,0.04851567908189569,3993.015464300037,2457.2800089300686,6,0.5,0.2222222222222222
4,RNR2-647_DRP1K38A-mCherry_HPG-488_TOM20-09,169.7971742207491,237892957,1401041.9083342415,147611448,869339.8384127053,167985502,989330.3747305371,17,0.8638196753031103,0.05081292207665355,6887.1980324371925,2930.210771388277,141,11.822632645115176,0.08384845847599416,3492.514542816306,2491.2023473068953,9,0.5294117647058824,0.06382978723404255,78.70829643935497,146827843,1865468.4403331152,32834087,417161.7032176371,50046670,635849.9963032632,22,0.9958008132386327,0.04526367332902876,6860.884884867497,1717.2811494385242,4,0.11259054421039819,0.028147636052599546,7694.010066209455,2416.186642727743,4,0.18181818181818182,1.0
5,RNR2-647_DRP1K38A-mCherry_HPG-488_TOM20-10,180.02632062101623,333826900,1854322.7392996508,469927197,2610324.9534787238,185806052,1032104.9242080052,42,3.8955114305329186,0.09275027215554568,7226.3582149469485,2630.286548506755,120,8.17596466856014,0.06813303890466783,4828.260286012884,2488.8730079314582,35,0.8333333333333334,0.2916666666666667,210.4018419548144,290369689,1380071.9913011,66046319,313905.6121675209,138613093,658801.7087310879,15,0.740608105357155,0.049373873690477,6880.783895236588,2174.78502564449,49,1.9041538924111214,0.038860283518594316,4598.425902541128,2413.4499802716487,10,0.6666666666666666,0.20408163265306123
6,RNR2-647_DRP1K38A-mCherry_HPG-488_TOM20-11,289.9944780443692,602677946,2078239.3860195854,445969202,1537854.117111039,272985418,941346.9519865589,93,24.441313243153438,0.26280981981885415,7728.80805537506,2451.2018547417033,173,24.399580069848916,0.14103803508583188,6341.8290318230875,2576.4397923910574,68,0.7311827956989247,0.3930635838150289,116.10729408148507,155854406,1342330.8779431211,31807186,273946.4927817322,66896999,576165.3436953851,4,0.14949196407545604,0.03737299101886401,6796.224400871461,2490.996357570806,24,1.131155861504284,0.04713149422934517,4573.082437973339,2436.1300110141033,3,0.75,0.125
7,RNR2-647_DRP1K38A-mCherry_HPG-488_TOM20-12,114.41928065374788,181973454,1590409.0024012867,128252760,1120901.6458346262,100094226,874802.0912917822,30,4.45112323034669,0.14837077434488968,7627.206737846199,2888.5590077796182,62,7.922451212815496,0.12778147117444347,5060.506303375739,2605.9123374784926,23,0.7666666666666667,0.3709677419354839,33.82629417116375,50970294,1506824.6536876382,10670928,315462.51995575544,27810663,822161.0933576059,1,0.010589014122011471,0.010589014122011471,6804.333333333333,1894.0,19,0.8004048909873375,0.042126573209859866,3835.080568618946,2412.502636915055,0,0.0,0.0
8,RNR2-647_DRP1K38A-mCherry_HPG-488_TOM20-13,201.13147153250722,226759576,1127419.6637265228,194219922,965636.6580533362,188687257,938128.9539737894,12,0.6029509217710061,0.05024591014758384,6927.143985360118,3203.170038302342,130,12.475727285280481,0.09596713296369601,3013.725699484455,2502.2360105199296,4,0.3333333333333333,0.03076923076923077,66.65722101486696,106392895,1596119.5708454535,21817556,327309.71480395045,45931175,689065.2550569981,7,0.4005138870854926,0.0572162695836418,7044.37037830169,2078.383447357076,14,0.7262817921332572,0.051877270866661225,4755.347950778824,2467.577368104971,4,0.5714285714285714,0.2857142857142857
9,RNR2-647_DRP1K38A-mCherry_HPG-488_TOM20-14,106.34489652186805,135039531,1269826.1544899936,100185879,942084.5031279752,69944722,657715.8311082378,4,0.21142002190619202,0.052855005476548006,6927.487087474781,2308.4489954097025,16,0.8732022206539766,0.054575138790873536,4475.39486779092,2433.007539361426,2,0.5,0.125,51.09984399291845,60356491,1181148.2439822,12513316,244879.72999945222,46520136,910377.2607690716,0,0.0,,,,39,2.1048176737110533,0.05396968394130906,2802.517165662241,2436.37694240716,0,0.0,0.0
