,image set,total mito area,total HPG intensity in mito,avg HPG intensity in mito,avg cell body HPG intensity,normalized avg HPG intensity
0,15minPulse_HPG-647_TOM20-488_dsDNA-405-01-Airyscan Processing-Extended Depth of Focus_SegmentedData.xlsx,467.49874465499425,320302874,685141.6771961127,244799.1109639534,440342.56623215927
1,15minPulse_HPG-647_TOM20-488_dsDNA-405-02-Airyscan Processing-Extended Depth of Focus_SegmentedData.xlsx,514.9892272257028,383568274,744808.3449557181,245023.55008685525,499784.7948688629
2,15minPulse_HPG-647_TOM20-488_dsDNA-405-03-Airyscan Processing-Extended Depth of Focus_SegmentedData.xlsx,595.3374206172168,514820756,864754.5713929068,307361.4222647445,557393.1491281623
3,15minPulse_HPG-647_TOM20-488_dsDNA-405-04-Airyscan Processing-Extended Depth of Focus_SegmentedData.xlsx,546.1178143284187,402418530,736871.2747355971,202314.17135238805,534557.1033832091
4,15minPulse_HPG-647_TOM20-488_dsDNA-405-05-Airyscan Processing-Extended Depth of Focus_SegmentedData.xlsx,509.5601773972153,306881318,602247.4510616596,193624.80309756013,408622.6479640995
5,15minPulse_HPG-647_TOM20-488_dsDNA-405-06-Airyscan Processing-Extended Depth of Focus_SegmentedData.xlsx,633.229896210775,710289166,1121692.406265631,464035.58289433806,657656.823371293
6,15minPulse_HPG-647_TOM20-488_dsDNA-405-07-Airyscan Processing-Extended Depth of Focus_SegmentedData.xlsx,654.3593395669983,533720979,815638.971934248,322561.290844996,493077.681089252
7,15minPulse_HPG-647_TOM20-488_dsDNA-405-08-Airyscan Processing-Extended Depth of Focus_SegmentedData.xlsx,220.36485847724987,165451316,750806.2634999534,187961.78368262787,562844.4798173256
8,15minPulse_HPG-647_TOM20-488_dsDNA-405-09-Airyscan Processing-Extended Depth of Focus_SegmentedData.xlsx,489.2560542597981,349662326,714681.6538203268,206820.0650135824,507861.5888067444
9,15minPulse_HPG-647_TOM20-488_dsDNA-405-10-Airyscan Processing-Extended Depth of Focus_SegmentedData.xlsx,609.307444660102,538129227,883181.7692629568,298910.2260560032,584271.5432069537
10,Chloro_HPG-647_TOM20-488_dsDNA-405-01-Airyscan Processing-Extended Depth of Focus_SegmentedData.xlsx,294.0039770976295,131725640,448040.3336729627,256455.04411503935,191585.28955792333
11,Chloro_HPG-647_TOM20-488_dsDNA-405-02-Airyscan Processing-Extended Depth of Focus_SegmentedData.xlsx,260.66415469295674,102395418,392825.0822235773,233332.78178681992,159492.3004367574
12,Chloro_HPG-647_TOM20-488_dsDNA-405-03-Airyscan Processing-Extended Depth of Focus_SegmentedData.xlsx,376.8181650131713,109913136,291687.4668081834,188359.68454102668,103327.78226715673
13,Chloro_HPG-647_TOM20-488_dsDNA-405-04-Airyscan Processing-Extended Depth of Focus_SegmentedData.xlsx,343.4746053093185,95643900,278459.8876352655,166829.39498851704,111630.49264674843
14,Chloro_HPG-647_TOM20-488_dsDNA-405-05-Airyscan Processing-Extended Depth of Focus_SegmentedData.xlsx,369.210269808092,95240799,257958.1522732405,171020.4518813253,86937.70039191519
15,Chloro_HPG-647_TOM20-488_dsDNA-405-06-Airyscan Processing-Extended Depth of Focus_SegmentedData.xlsx,409.6472232073134,148030719,361361.4608223157,223042.02655427062,138319.4342680451
16,Chloro_HPG-647_TOM20-488_dsDNA-405-07-Airyscan Processing-Extended Depth of Focus_SegmentedData.xlsx,321.0626454784722,180787603,563091.3640874554,385211.14001817687,177880.22406927857
17,Chloro_HPG-647_TOM20-488_dsDNA-405-08-Airyscan Processing-Extended Depth of Focus_SegmentedData.xlsx,674.9213363424175,276223239,409267.3088347287,274053.5807330149,135213.72810171382
18,Chloro_HPG-647_TOM20-488_dsDNA-405-09-Airyscan Processing-Extended Depth of Focus_SegmentedData.xlsx,616.2880964991934,248465320,403164.2366798905,286449.9814347238,116714.25524516666
19,Chloro_HPG-647_TOM20-488_dsDNA-405-10-Airyscan Processing-Extended Depth of Focus_SegmentedData.xlsx,469.59163215185964,232575188,495271.1506681795,302896.8485232709,192374.30214490858
