,image name,object name,avg int channel 1,avg int channel 2,avg int channel 3
0,grsf1_rat_tom20_eu_1hr-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #001 (GRSF1),736.6,12276.2,3572.2
1,grsf1_rat_tom20_eu_1hr-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #002 (GRSF1),425.54545454545456,12882.818181818182,2324.818181818182
2,grsf1_rat_tom20_eu_1hr-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #003 (GRSF1),2123.189655172414,28577.41379310345,1890.5862068965516
3,grsf1_rat_tom20_eu_1hr-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #004 (GRSF1),1102.0333333333333,15871.466666666667,3271.1666666666665
4,grsf1_rat_tom20_eu_1hr-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #005 (GRSF1),679.8846153846154,13313.73076923077,1390.8461538461538
5,grsf1_rat_tom20_eu_1hr-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #006 (GRSF1),767.3888888888889,15546.611111111111,2494.3611111111113
6,grsf1_rat_tom20_eu_1hr-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #007 (GRSF1),997.0930232558139,25821.302325581397,2626.4186046511627
7,grsf1_rat_tom20_eu_1hr-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #009 (GRSF1),790.0,9882.0,1001.5
8,grsf1_rat_tom20_eu_1hr-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #010 (GRSF1),654.1891891891892,18891.243243243243,2823.4864864864867
9,grsf1_rat_tom20_eu_1hr-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #011 (GRSF1),685.7,15567.1,1108.5333333333333
10,grsf1_rat_tom20_eu_1hr-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #012 (GRSF1),709.1111111111111,10902.222222222223,1365.2222222222222
