,image name,sum of mito area,number of HPG,sum of HPG area,avg HPG area,number of MRPL23,sum of MRPL23 area,avg of MRPL23 area,number of MRPL23 in HPG,percent of MRPL23 in HPG,avg percent of simulated MRPL23 in HPG,std percent of simulated MRPL23 in HPG
0,HPG-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,469.9697222445145,725,42.951532811613056,0.05924349353325939,1350,35.295052718215175,0.026144483494974204,163,12.074074074074074,12.295172413793104,1.3629147451875203
1,HPG-647_MRPL23-488_TOM20-405-02-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,400.0105974731075,690,80.48398192549124,0.11664345206592933,1744,69.26710155436257,0.03971737474447395,457,26.204128440366976,37.41159420289855,1.855294325043661
2,HPG-647_MRPL23-488_TOM20-405-03-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,464.7287831372987,598,90.51863001405707,0.1513689465118011,2001,82.36197472418885,0.04116040715851517,468,23.388305847076463,47.434782608695656,2.142860707275367
3,HPG-647_MRPL23-488_TOM20-405-04-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,367.7944563316394,671,151.8034835699724,0.2262346998062182,1769,70.81621203209446,0.04003177616285724,530,29.960429621254946,69.7064083457526,1.489236992849944
4,HPG-647_MRPL23-488_TOM20-405-05-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,555.2106630435246,824,59.01319858515343,0.07161795944800174,2146,76.06898591979581,0.0354468713512562,309,14.39888164026095,19.435679611650485,1.3714373283805665
5,HPG-647_MRPL23-488_TOM20-405-06-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,639.3229395137375,958,85.05345296073058,0.08878230997988579,1872,52.30474669726748,0.02794056981691639,384,20.51282051282051,20.352818371607516,1.304683995452859
6,HPG-647_MRPL23-488_TOM20-405-07-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,512.2940116901893,703,136.55156593517734,0.19424120332173164,2174,86.09989670925891,0.03960436831152664,589,27.092916283348668,57.28165007112376,1.6682994843664796
7,HPG-647_MRPL23-488_TOM20-405-08-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,448.33076044458954,752,137.41425914452853,0.18273172758580922,1884,73.67337719548662,0.03910476496575723,698,37.04883227176221,54.402925531914896,1.3439359858005169
8,HPG-647_MRPL23-488_TOM20-405-09-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,574.18430770063,609,57.80231367614323,0.09491348715294455,1567,43.505275961875945,0.0277634179718417,199,12.699425654116144,20.479474548440066,1.3976231795293221
9,HPG-647_MRPL23-488_TOM20-405-10-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,454.1908454363465,789,114.58309893109438,0.14522572741583573,1991,76.34741470288635,0.038346265546401984,575,28.87995981918634,46.70975918884664,1.6304218782632165
