,image name,object name,avg int channel 1,avg int channel 2,avg int channel 3
0,dsDNA-405_GRSF1-488_MT-RNR2-647-02-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #001 (GRSF1),5132.291666666667,25751.458333333332,1931.6666666666667
1,dsDNA-405_GRSF1-488_MT-RNR2-647-02-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #002 (GRSF1),6297.764705882353,27500.58823529412,9887.411764705883
2,dsDNA-405_GRSF1-488_MT-RNR2-647-02-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #003 (GRSF1),3734.125,26260.0,1021.46875
3,dsDNA-405_GRSF1-488_MT-RNR2-647-02-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #004 (GRSF1),4532.75,41816.921875,1789.34375
4,dsDNA-405_GRSF1-488_MT-RNR2-647-02-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #005 (GRSF1),4636.578947368421,29056.842105263157,2268.157894736842
5,dsDNA-405_GRSF1-488_MT-RNR2-647-02-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #006 (GRSF1),2103.8947368421054,31068.78947368421,12381.578947368422
6,dsDNA-405_GRSF1-488_MT-RNR2-647-02-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #007 (GRSF1),5212.444444444444,26760.833333333332,1432.2777777777778
7,dsDNA-405_GRSF1-488_MT-RNR2-647-02-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #008 (GRSF1),6701.0,22160.0,3202.0
8,dsDNA-405_GRSF1-488_MT-RNR2-647-02-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #009 (GRSF1),5789.111111111111,30859.583333333332,1990.4444444444443
9,dsDNA-405_GRSF1-488_MT-RNR2-647-02-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #011 (GRSF1),7519.961538461538,28918.615384615383,1908.2307692307693
10,dsDNA-405_GRSF1-488_MT-RNR2-647-02-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #012 (GRSF1),5092.477611940299,44918.05970149254,3671.4328358208954
11,dsDNA-405_GRSF1-488_MT-RNR2-647-02-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #013 (GRSF1),3804.3414634146343,35988.439024390245,3785.7804878048782
12,dsDNA-405_GRSF1-488_MT-RNR2-647-02-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #014 (GRSF1),3432.5625,25805.0,3152.625
13,dsDNA-405_GRSF1-488_MT-RNR2-647-02-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #015 (GRSF1),2975.909090909091,23815.18181818182,3192.3636363636365
14,dsDNA-405_GRSF1-488_MT-RNR2-647-02-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #016 (GRSF1),6699.142857142857,21388.714285714286,4043.0
15,dsDNA-405_GRSF1-488_MT-RNR2-647-02-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #017 (GRSF1),2603.3333333333335,25834.166666666668,7733.166666666667
16,dsDNA-405_GRSF1-488_MT-RNR2-647-02-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #018 (GRSF1),6573.5,24139.0,2957.0
17,dsDNA-405_GRSF1-488_MT-RNR2-647-02-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #021 (GRSF1),2273.2272727272725,25488.31818181818,1793.2272727272727
18,dsDNA-405_GRSF1-488_MT-RNR2-647-02-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #022 (GRSF1),3128.525,31744.025,5323.75
19,dsDNA-405_GRSF1-488_MT-RNR2-647-02-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #024 (GRSF1),1187.0,24278.4,813.0
20,dsDNA-405_GRSF1-488_MT-RNR2-647-02-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #025 (GRSF1),2662.521276595745,48786.90425531915,1954.0106382978724
21,dsDNA-405_GRSF1-488_MT-RNR2-647-02-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #026 (GRSF1),4441.416666666667,25762.666666666668,4076.2083333333335
22,dsDNA-405_GRSF1-488_MT-RNR2-647-02-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #027 (GRSF1),2032.2857142857142,22232.571428571428,3545.0
23,dsDNA-405_GRSF1-488_MT-RNR2-647-02-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #028 (GRSF1),4969.571428571428,26003.904761904763,3840.904761904762
