,image name,object name,avg int channel 1,avg int channel 2
0,RNR2-647_L-HPG-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_v2_objectfeatures.xlsx,Segment #001 (HPG Thresholded),6303.379807692308,2566.091346153846
1,RNR2-647_L-HPG-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_v2_objectfeatures.xlsx,Segment #002 (HPG Thresholded),10369.457142857143,2493.114285714286
2,RNR2-647_L-HPG-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_v2_objectfeatures.xlsx,Segment #003 (HPG Thresholded),10313.724137931034,2266.206896551724
3,RNR2-647_L-HPG-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_v2_objectfeatures.xlsx,Segment #004 (HPG Thresholded),12839.0,2127.0
4,RNR2-647_L-HPG-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_v2_objectfeatures.xlsx,Segment #005 (HPG Thresholded),1278.6,2320.133333333333
5,RNR2-647_L-HPG-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_v2_objectfeatures.xlsx,Segment #006 (HPG Thresholded),6365.8,2162.8
6,RNR2-647_L-HPG-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_v2_objectfeatures.xlsx,Segment #007 (HPG Thresholded),4072.5,2168.25
7,RNR2-647_L-HPG-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_v2_objectfeatures.xlsx,Segment #008 (HPG Thresholded),7528.0,2121.0
8,RNR2-647_L-HPG-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_v2_objectfeatures.xlsx,Segment #009 (HPG Thresholded),6992.928571428572,2323.6428571428573
9,RNR2-647_L-HPG-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_v2_objectfeatures.xlsx,Segment #010 (HPG Thresholded),10248.473684210527,2175.0
10,RNR2-647_L-HPG-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_v2_objectfeatures.xlsx,Segment #011 (HPG Thresholded),16139.0,2221.35
11,RNR2-647_L-HPG-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_v2_objectfeatures.xlsx,Segment #012 (HPG Thresholded),9652.9375,2229.375
12,RNR2-647_L-HPG-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_v2_objectfeatures.xlsx,Segment #013 (HPG Thresholded),8816.85,2222.65
13,RNR2-647_L-HPG-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_v2_objectfeatures.xlsx,Segment #014 (HPG Thresholded),8067.5,2159.0
14,RNR2-647_L-HPG-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_v2_objectfeatures.xlsx,Segment #015 (HPG Thresholded),13921.720588235294,2403.676470588235
15,RNR2-647_L-HPG-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_v2_objectfeatures.xlsx,Segment #016 (HPG Thresholded),13878.666666666666,2236.25
16,RNR2-647_L-HPG-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_v2_objectfeatures.xlsx,Segment #017 (HPG Thresholded),10411.666666666666,2384.516666666667
