,image name,object name,avg int channel 1,avg int channel 2
0,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #002 (MRPL23),1685.6279069767443,3301.6511627906975
1,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #005 (MRPL23),2311.5526315789475,2550.7631578947367
2,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #006 (MRPL23),967.375,1397.96875
3,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #007 (MRPL23),1953.7021276595744,2384.446808510638
4,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #009 (MRPL23),2836.0,3800.328125
5,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #010 (MRPL23),1470.4857142857143,1992.2
6,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #012 (MRPL23),1040.3243243243244,3363.1216216216217
7,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #015 (MRPL23),1376.3131313131314,3745.59595959596
8,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #016 (MRPL23),1425.1311475409836,3603.688524590164
9,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #019 (MRPL23),1235.6,988.6
10,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #020 (MRPL23),653.6666666666666,1761.0
11,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #025 (MRPL23),2371.1666666666665,1185.9166666666667
12,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #026 (MRPL23),1511.1,1993.68
13,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #028 (MRPL23),1094.0961538461538,2140.8076923076924
14,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #035 (MRPL23),2479.546875,4003.328125
15,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #040 (MRPL23),1834.0,3760.6162790697676
16,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #042 (MRPL23),1201.509090909091,2520.2727272727275
17,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #045 (MRPL23),1690.0224719101125,4679.898876404494
18,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #049 (MRPL23),1287.42,2559.3
19,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #051 (MRPL23),1772.871794871795,3069.641025641026
20,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #052 (MRPL23),1710.5,968.0
21,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #054 (MRPL23),2557.7954545454545,2412.2954545454545
22,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #055 (MRPL23),2753.6153846153848,1417.7307692307693
23,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #056 (MRPL23),2232.75,2333.6346153846152
24,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #057 (MRPL23),1943.225806451613,2003.225806451613
25,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #058 (MRPL23),2382.12,3512.0133333333333
26,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #064 (MRPL23),2020.7407407407406,2705.222222222222
27,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #065 (MRPL23),1153.71875,3074.1875
28,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #067 (MRPL23),3863.8518518518517,2257.740740740741
29,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #069 (MRPL23),3103.5,1470.8823529411766
30,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #070 (MRPL23),810.4615384615385,2208.5897435897436
31,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #071 (MRPL23),731.9076923076923,2728.2153846153847
32,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #074 (MRPL23),1821.9019607843138,2062.450980392157
33,RNR2-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #075 (MRPL23),2803.294117647059,1759.0
