,image name,segment name,segment area,segment side ratio,segment roundness,total c1 int,avg c1 int,max c1 int,total c2 int,avg c2 int,max c2 int
0,1W-NTRKO-Chloro_RNR2-647_L-HPG-488_dsDNA-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #001 (Machine Learning Segmenter),4.836687921024749,2.1102042198181152,0.3192626732953284,9650491,2485.3183105845997,8116,1850165,476.4782384754056,1541
1,1W-NTRKO-Chloro_RNR2-647_L-HPG-488_dsDNA-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #002 (Machine Learning Segmenter),49.02962691765545,1.99384343624115,0.03584932634974613,125974923,3202.209532282664,15803,20162504,512.5191662430096,1489
2,1W-NTRKO-Chloro_RNR2-647_L-HPG-488_dsDNA-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #003 (Machine Learning Segmenter),0.2535134557446264,1.0666662454605103,0.8113279164547152,436105,2137.7696078431372,4064,73612,360.84313725490193,676
3,1W-NTRKO-Chloro_RNR2-647_L-HPG-488_dsDNA-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #004 (Machine Learning Segmenter),0.30458987680373995,1.333332896232605,0.7833569978146224,671395,2740.387755102041,5223,113502,463.2734693877551,932
4,1W-NTRKO-Chloro_RNR2-647_L-HPG-488_dsDNA-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #005 (Machine Learning Segmenter),2.1097053430149293,2.8163821697235107,0.26713317778025675,4098121,2419.197756788666,7620,644282,380.331759149941,815
5,1W-NTRKO-Chloro_RNR2-647_L-HPG-488_dsDNA-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #006 (Machine Learning Segmenter),4.211313204642258,1.892359972000122,0.3897356197484407,13541150,4005.072463768116,12614,1913287,565.893818396924,1459
6,1W-NTRKO-Chloro_RNR2-647_L-HPG-488_dsDNA-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #008 (Machine Learning Segmenter),5.285163813251242,2.1435859203338623,0.12988077239457266,13543722,3192.0155550318173,11164,1983037,467.3667216592034,1214
7,1W-NTRKO-Chloro_RNR2-647_L-HPG-488_dsDNA-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #014 (Machine Learning Segmenter),10.683692365927246,5.882719039916992,0.10407811275824802,27435157,3199.435218658892,9749,4371707,509.8200583090379,1326
8,1W-NTRKO-Chloro_RNR2-647_L-HPG-488_dsDNA-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #015 (Machine Learning Segmenter),0.2036828010528083,1.1428563594818115,0.8125747074384654,205406,1252.4756097560976,3631,31964,194.90243902439025,432
9,1W-NTRKO-Chloro_RNR2-647_L-HPG-488_dsDNA-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #017 (Machine Learning Segmenter),0.5225989910804447,1.5797052383422852,0.8149753928780369,857141,2040.8119047619048,5498,196899,468.8071428571429,792
