,image name,segment name,segment area,segment side ratio,segment roundness,total c1 int,avg c1 int,max c1 int,total c2 int,avg c2 int,max c2 int
0,1W-NTRKO_RNR2-647_L-HPG-488_dsDNA-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #001 (Machine Learning Segmenter),0.434149579002467,1.277779459953308,0.8041032391479058,1786623,5119.263610315186,13714,139674,400.2120343839542,832
1,1W-NTRKO_RNR2-647_L-HPG-488_dsDNA-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #002 (Machine Learning Segmenter),0.8159769705785251,1.8181813955307007,0.5903023155238669,4292542,6553.499236641222,21149,288267,440.10229007633586,1094
2,1W-NTRKO_RNR2-647_L-HPG-488_dsDNA-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #003 (Machine Learning Segmenter),0.5101413274074902,1.043479084968567,0.7821428355876308,1230700,3001.7073170731705,8067,97544,237.9121951219512,747
3,1W-NTRKO_RNR2-647_L-HPG-488_dsDNA-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #004 (Machine Learning Segmenter),9.06793338754474,1.7469881772994995,0.13437551298545414,30426338,4184.61532113877,18584,2296841,315.8906615321139,1048
4,1W-NTRKO_RNR2-647_L-HPG-488_dsDNA-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #005 (Machine Learning Segmenter),0.24603885754085386,1.2000019550323486,0.7429104493833759,776000,3919.191919191919,8756,39316,198.56565656565655,375
5,1W-NTRKO_RNR2-647_L-HPG-488_dsDNA-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #010 (Machine Learning Segmenter),1.754661928335712,2.004709243774414,0.5773204904725273,7245169,5142.064584811923,15953,351570,249.51738821859476,665
6,1W-NTRKO_RNR2-647_L-HPG-488_dsDNA-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #014 (Machine Learning Segmenter),0.5294507061005699,1.8392128944396973,0.4322609782025859,1445263,3400.6188235294117,8282,57609,135.55058823529413,347
7,1W-NTRKO_RNR2-647_L-HPG-488_dsDNA-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #015 (Machine Learning Segmenter),2.1240316562388233,2.5229592323303223,0.31163186968582257,5361976,3144.8539589442817,11771,428535,251.34017595307918,668
8,1W-NTRKO_RNR2-647_L-HPG-488_dsDNA-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #016 (Machine Learning Segmenter),4.422470603898907,2.5925934314727783,0.21483364736364893,15734875,4433.608058608059,17588,927011,261.20343758805296,1084
9,1W-NTRKO_RNR2-647_L-HPG-488_dsDNA-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,Segment #018 (Machine Learning Segmenter),1.049558164446427,2.0790889263153076,0.503875737727786,3694088,4382.073546856465,12681,149816,177.717674970344,498
