,image name,segment name,segment area,segment side ratio,segment roundness,total c1 int,avg c1 int,max c1 int,total c2 int,avg c2 int,max c2 int
0,1W-SUV3KO-Chloro_RNR2-647_L-HPG-488_dsDNA-405-01-Airyscan Processing-Extended Depth of Focus-objectfeatures.xlsx,Drawn segment #070 Part 1 (Control Mitos),1.1193210810149776,4.145145893096924,0.2823694747895754,2731757,3038.6618464961066,6761,336523,374.33036707452726,752
1,1W-SUV3KO-Chloro_RNR2-647_L-HPG-488_dsDNA-405-01-Airyscan Processing-Extended Depth of Focus-objectfeatures.xlsx,Drawn segment #070 Part 2 (Control Mitos),2.8658855279632105,1.0695478916168213,0.6065829268497284,12742380,5537.757496740547,20362,960981,417.6362451108214,927
2,1W-SUV3KO-Chloro_RNR2-647_L-HPG-488_dsDNA-405-01-Airyscan Processing-Extended Depth of Focus-objectfeatures.xlsx,Drawn segment #070 Part 3 (Control Mitos),10.565344561034266,5.271230697631836,0.10888393044077385,32607146,3845.1823113207547,21054,3000191,353.79610849056604,1182
3,1W-SUV3KO-Chloro_RNR2-647_L-HPG-488_dsDNA-405-01-Airyscan Processing-Extended Depth of Focus-objectfeatures.xlsx,Drawn segment #070 Part 4 (Control Mitos),6.940787315387344,3.1506848335266113,0.11102163445077955,24548608,4406.499371746545,16847,2041361,366.4263148447316,995
4,1W-SUV3KO-Chloro_RNR2-647_L-HPG-488_dsDNA-405-01-Airyscan Processing-Extended Depth of Focus-objectfeatures.xlsx,Drawn segment #070 Part 5 (Control Mitos),0.4304122799005807,1.6234561204910278,0.6997471817409165,403339,1165.7196531791908,2848,168458,486.8728323699422,1292
5,1W-SUV3KO-Chloro_RNR2-647_L-HPG-488_dsDNA-405-01-Airyscan Processing-Extended Depth of Focus-objectfeatures.xlsx,Drawn segment #070 Part 6 (Control Mitos),11.405613975774981,3.0790762901306152,0.08990168308108991,41203143,4501.108040201005,17590,3678360,401.83089359842694,1281
6,1W-SUV3KO-Chloro_RNR2-647_L-HPG-488_dsDNA-405-01-Airyscan Processing-Extended Depth of Focus-objectfeatures.xlsx,Drawn segment #070 Part 7 (Control Mitos),0.8128625546602862,1.4299989938735962,0.7921472675608352,2952251,4521.058192955589,11505,200814,307.5252679938744,697
7,1W-SUV3KO-Chloro_RNR2-647_L-HPG-488_dsDNA-405-01-Airyscan Processing-Extended Depth of Focus-objectfeatures.xlsx,Drawn segment #070 Part 8 (Control Mitos),1.8132129475986014,2.4444451332092285,0.6018638137246367,9713242,6671.182692307692,16676,673943,462.87293956043953,1089
8,1W-SUV3KO-Chloro_RNR2-647_L-HPG-488_dsDNA-405-01-Airyscan Processing-Extended Depth of Focus-objectfeatures.xlsx,Drawn segment #069 Part 1 (Control Mitos),12.559193631890855,2.290311574935913,0.08519702791015916,40306480,3998.2620771748834,15981,4462441,442.65856561849023,1111
9,1W-SUV3KO-Chloro_RNR2-647_L-HPG-488_dsDNA-405-01-Airyscan Processing-Extended Depth of Focus-objectfeatures.xlsx,Drawn segment #069 Part 2 (Control Mitos),1.8555690040866513,1.394409418106079,0.6576051860354627,5476638,3675.5959731543626,9263,593511,398.32953020134227,784
